country,clean_text,conflict_source_file,duplicate_count,label_nunique,original_labels,original_source_row_indices,original_sources,original_ids,original_row_orders,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
TR,#Mahsa_Amini anısına Rojhilat Kürdistan direnişi büyüyerek devam ediyor. LINK,TR_R2_duplicate_text_label_conflicts.csv,2,2,TR_State_Security_Ataturk | safe,"[4, 5]",R1,tr_train_00002699 | tr_train_00008502,"[8137, 13940]",Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,The text mentions a politically sensitive topic related to the Kurdish resistance in Rojhilat Kurdistan.,Politically_Sensitive_Topics,"The text refers to the Mahsa Amini protests and the resistance in Rojhilat Kurdistan, which is a politically sensitive topic related to regional conflicts and separatism.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text mentions a politically sensitive topic related to the Kurdish resistance in Rojhilat Kurdistan.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text refers to the Mahsa Amini protests and the resistance in Rojhilat Kurdistan, which is a politically sensitive topic related to regional conflicts and separatism.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6469,2026-06-17T02:16:06.993857+00:00,2,TR_row_00000002,,
TR,#Russia devlet başkanı #Putin kısmi seferberlik ilan etti. Sırbistan CB Vucic’in Şanghay Beşlisi toplantılarında Valadimir Putin’le yaptığı açıklamalara bakarsak 3. Dünya Savaşı çıkacak. Putin’in başta Abd olmak üzere İngiltere ve Avrupa ülkelerine atom bombası atması bekleniyor,TR_R2_duplicate_text_label_conflicts.csv,2,2,Dangerous_Content | Politically_Sensitive_Topics,"[6, 7]",R1,tr_train_00008554 | tr_train_00011528,"[13992, 16966]",Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,The text discusses a potential third world war and Russia's president Putin possibly using atomic bombs against Western countries.,Politically_Sensitive_Topics,"The text discusses a potential 3rd World War and nuclear attacks, referencing political leaders and international relations.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses a potential third world war and Russia's president Putin possibly using atomic bombs against Western countries.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses a potential 3rd World War and nuclear attacks, referencing political leaders and international relations.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6560,2026-06-17T02:16:14.666758+00:00,3,TR_row_00000003,,
TR,#Hdpkk ve #Demirtaş duymasın valla seçimlerde tek oy koklatmazlar size 🤣,TR_R2_duplicate_text_label_conflicts.csv,2,2,TR_State_Security_Ataturk | safe,"[2, 3]",R1,tr_train_00001802 | tr_train_00009297,"[7240, 14735]",Politically_Sensitive_Topics,triple_vote_majority,Hate_Speech,The text contains hostile language and insults towards a specific group.,Politically_Sensitive_Topics,"The text references HDP/PKK and Demirtaş, which are politically sensitive topics in Turkey.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults towards a specific group.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text references HDP/PKK and Demirtaş, which are politically sensitive topics in Turkey.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6452,2026-06-17T02:16:15.236288+00:00,1,TR_row_00000001,Politically_Sensitive_Topics,"The text references a Turkish political party (HDP) and a political figure (Demirtaş) in the context of election outcomes, which falls under politically sensitive topics."
TR,1 saatte o kadar oy sayılıp rejim değişebiliyorsa 1 dk içinde kütüphane sitesi kapatılmış çok mu?,TR_R2_duplicate_text_label_conflicts.csv,2,2,TR_State_Security_Ataturk | safe,"[13, 14]",R1,tr_train_00004881 | tr_train_00006646,"[10319, 12084]",Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,The text discusses political sensitivity and regime change.,Politically_Sensitive_Topics,"The text questions the legitimacy of an election and mentions the closure of a library website, implying political manipulation and censorship.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses political sensitivity and regime change.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text questions the legitimacy of an election and mentions the closure of a library website, implying political manipulation and censorship.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6465,2026-06-17T02:16:21.338042+00:00,6,TR_row_00000006,,
TR,24 Haziran 2018 tarihinde yapılacak O_L_A_N Başta Aziz Türk Milleti Olmak üzere Bütün İslam alemine hayırl🔐,TR_R2_duplicate_text_label_conflicts.csv,3,2,TR_State_Security_Ataturk | safe,"[15, 16, 17]",R1,tr_train_00008001 | tr_train_00010060 | tr_train_00010781,"[13439, 15498, 16219]",safe,triple_vote_majority,safe,The text appears to be a neutral greeting and blessing for the Islamic community.,Politically_Sensitive_Topics,"The text refers to a specific date and mentions the Islamic world, potentially related to a political event or statement with broader implications.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a neutral greeting and blessing for the Islamic community.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text refers to a specific date and mentions the Islamic world, potentially related to a political event or statement with broader implications.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6472,2026-06-17T02:16:22.300967+00:00,7,TR_row_00000007,safe,"The text is a neutral political well-wish for a specific election date and the Turkish nation without any hate speech, violence, or state-security violations."
TR,7 ayfan fazla bir süredir Fakıbaba'nın hikayelerini dinliyoruz El insaf artık Tarımdan bahsediyorsunuz personel eksikliğini gidermiyorsunuz Reis sözler nerde kaldı Hepsi yalan mıydı ZamanYokAcilGTHBAtamaREİS İN,TR_R2_duplicate_text_label_conflicts.csv,2,2,TR_State_Security_Ataturk | safe,"[18, 19]",R1,tr_train_00006659 | tr_train_00008695,"[12097, 14133]",Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,"Text contains criticism of government policies and personnel issues, with a sense of urgency and frustration.",Politically_Sensitive_Topics,"The text contains political commentary and references to a political figure (Reis) and government actions (personel eksikliği gidermiyorsunuz, AtamaREİS), indicating political sensitivity.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text contains criticism of government policies and personnel issues, with a sense of urgency and frustration.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text contains political commentary and references to a political figure (Reis) and government actions (personel eksikliği gidermiyorsunuz, AtamaREİS), indicating political sensitivity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6557,2026-06-17T02:16:29.368161+00:00,8,TR_row_00000008,,
TR,Adana chpkk lı belediyede taciz tecavüz var bilin istedim sizde olunca üstünü örtmeyin,TR_R2_duplicate_text_label_conflicts.csv,2,2,Dangerous_Content | TR_State_Security_Ataturk,"[22, 23]",R1,tr_train_00003362 | tr_train_00010393,"[8800, 15831]",Harassment,initial_models_agree,Harassment,The text contains allegations of harassment and assault within a specific institution.,Harassment,"The text alleges sexual abuse (taciz tecavüz) within a CHP-linked municipality in Adana and urges reporting, indicating malicious abuse and potential intimidation.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains allegations of harassment and assault within a specific institution.""}","```json
{""final_label"":""Harassment"",""reason"":""The text alleges sexual abuse (taciz tecavüz) within a CHP-linked municipality in Adana and urges reporting, indicating malicious abuse and potential intimidation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6466,2026-06-17T02:16:34.489430+00:00,10,TR_row_00000010,,
TR,Anlık açıklamalarinda bu kadar adam topluyorsan miting yapsan neler yapıcan acaba başkan! önülHırsızıKazandı,TR_R2_duplicate_text_label_conflicts.csv,2,2,Harassment | TR_State_Security_Ataturk,"[30, 31]",R1,tr_train_00002420 | tr_train_00006628,"[7858, 12066]",Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,The text contains a politically sensitive comment about a potential rally and an insult towards a president.,Politically_Sensitive_Topics,"The text refers to a political figure ('başkan') and implies potential political action ('miting'), indicating political sensitivity.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text contains a politically sensitive comment about a potential rally and an insult towards a president.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text refers to a political figure ('başkan') and implies potential political action ('miting'), indicating political sensitivity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6478,2026-06-17T02:16:48.034227+00:00,13,TR_row_00000013,,
TR,Allah senin belanı versin sen nasıl egitimcisin o ellerin kırılsın senin görevden alınmalı bu cani en ağır cezayı da çekmeli,TR_R2_duplicate_text_label_conflicts.csv,2,2,Harassment | Hate_Speech,"[24, 25]",R1,tr_train_00009768 | tr_train_00010642,"[15206, 16080]",Dangerous_Content,triple_vote_majority,Harassment,"The text contains direct insults, vulgar abuse, and threats against a specific person.",Dangerous_Content,"The text expresses a wish for severe harm and removal of someone from their position, calling them a 'monster' and demanding the heaviest punishment.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and threats against a specific person.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text expresses a wish for severe harm and removal of someone from their position, calling them a 'monster' and demanding the heaviest punishment.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6476,2026-06-17T02:16:50.977828+00:00,11,TR_row_00000011,Dangerous_Content,The text contains severe violent threats wishing for the breaking of hands and calls for the harshest punishment against a specific individual.
TR,Ami sulanmış alev alev yanan ateşi tavan yapmış kocası yetmeyen doymayan boşalmaya çalışan azmis bayanlar arayın sizi altimda nasıl bagirtaa bagirtaa ezee ezee küfürler ederek hayvanlar gibi dövee dövee si.ecegimi anlatıp fantaziler kurarak bosaltam özele açık 05357319176,TR_R2_duplicate_text_label_conflicts.csv,4,2,Harassment | TR_State_Security_Ataturk,"[26, 27, 28, 29]",R1,tr_train_00001412 | tr_train_00003523 | tr_train_00006777 | tr_train_00011301,"[6850, 8961, 12215, 16739]",Sexually_Explicit_Information,initial_models_agree,Sexually_Explicit_Information,The text contains explicit sexual language and solicitation.,Sexually_Explicit_Information,"The text contains explicit sexual descriptions, solicitation, and references to sexual acts and fantasies.",initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and solicitation.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual descriptions, solicitation, and references to sexual acts and fantasies.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6572,2026-06-17T02:16:51.057840+00:00,12,TR_row_00000012,,
