content_id,original_indices,source_labels,candidate_pool,candidate_targets,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,norm_text
tr_new_round1_00000000,66404,obscenity|national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics|Sexually_Explicit_Information|Harassment,0,0,0,0,1,0,1,""" ya bu deveyi güdeceksin, ya da bu diyarı sikeceksin "". öyle gitmekle olmaz o işler."
tr_new_round1_00000001,51982,national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics,0,0,0,0,0,0,1,"""yok""ları sıralamışken aslında ysk olmadığı gibi başkanıda yok zaten bu ülkede adalet de yok deseymiş."
tr_new_round1_00000002,86715,violence|national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics|Dangerous_Content|Harassment,0,0,1,0,0,0,1,#abidikgubidiki̇ttifakı fetö chdpkk ittifakı gerçekleşti. artık sp ne halt eder düşünsün karar versin...
tr_new_round1_00000003,8166,national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics,0,0,0,0,0,0,1,"#buldan : apê musa’nın bilge kişiliği, duruşu, direnişi ve mücadelesi kürt halkının hafızasından asla silinmeyecek. aradan 30 yıl değil, nice yıllar geçse bile kürt halkının hafızasında apê musa bilge kişiliğiyle, çınar kişiliğiyle hep hatırlanacak."
tr_new_round1_00000004,66055,national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics,0,0,0,0,0,0,1,#fazlasözegerekyok -adamları büyüttüler sonra terörist ilan ettiler. -eee yani ne demek istiyorsun? *.çocuğu fetö elebaşı terörist değil mi? ben bu gece belayı bulurum bakalım hayırlısı..
tr_new_round1_00000005,60534,national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics,0,0,0,0,0,0,1,#i̇smeti̇nönü sevmediğim tek siyasetçi. para ve puldan atatürk resmini bastırıp kendi resmini koydurmuş. 12 sene anıtkabir inşaatı tamamlanmamış atatürk defnedilmemiş. yemek masasında atatürk'e hakaret 1.5 yıl atatürk ile konusmama ama chp ye göre atamızın en yakın dostu.
tr_new_round1_00000006,2265,violence|national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics|Dangerous_Content|Harassment,0,0,1,0,0,0,1,"- lnr ve dnr gönüllülerinin ve savaşçılarının yasal durumlarının belirlenmesi için hükümete, savunma bakanlığına eksiksiz ve en kısa sürede talimat verdim. tıbbi bakım, sosyal güvenceler de dahil olmak üzere düzenli ordununkiyle aynı olmalıdır."
tr_new_round1_00000007,57260,violence|harassment|national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics|Harassment|Dangerous_Content,0,0,1,1,0,0,1,"..beni bir gün unutacaksan,bir gün bırakıp gideceksen boşuna yorma derdi boş yere mağaramdan çıkarma beni alışkanlıklarımı özellikle yalnızlığa alışkanlığımı kaybettirme.. not 20580 bugun tonla plan yaptim alternatifleriyle ve hepsi acik havada olmaliydi ve yine yagmur yagiyor dostlari eve cagiricam abim yok ctesiye kotu bi baslangic not 39662 hayır hayır kayseri 1.75 ödemiş üstüne.. not 29162 mülakata giricem diye heyecan yapıyorum kalbim duracak giremeden tahtalı köyü boylucam 😂 not 10903 . anlamak masraflı iştir; emek ister, gayret ister, samimiyet ister. yanlış anlamak kolaydır oysa; biraz kötü niyet, biraz da yetersizlik kâfidir. sezai karakoç not 25617 16 saniyede kadının psikolojisini bozdular helal olsun not 43575 güzel şeyleer oluyor kanki takipte kal 😂 not 23633 haliyle o vatandaşlık tanımı her kişiye,her etnik kökene özel yapılmıyor.türkiye cumhuriyeti vatndaşlarına türk denir al kitabı oku.yok ben türk değilim kürtüm diyorlarsa o zaman varsa bir kürt devleti ve vatandaşlık tanımında bu devletin vatandaşına kürt denir diyen bir anayasa off 36682 kardeşim benden sana tavsiye bu yorumu bence kaldır yokla 1 haftaya bu yorumdan dolayı alırlar seni 🙆🏼‍♂️başıma geldi haberin olsun not 16789 sn.bahceliye teşekkürlerimizi iletirmisiniz.bu vatanın bekasi için mücadele eden verdiğiniz 3600 ek gösterge sözü için teşekkür ederiz.ayni duyarlılığı diğer siyasilerden de beklerdik... not 14578 insallah buraya gelmezler. tek kendim oldugum yer burasi. boyle uzgun ve malim xjdkdjxmenxmx off 33291 çocuğa tecavüz edeni ailesi ve halka teslim edelim diyince i̇nsan hakları diye vızıldayan kitleye uyuz oluyorum yeminle ulan insan hakkı insana verilir insanaa.. yemişim hakkını! mazlumun hakkını korudukda sapık yaratığın hakkımı kaldı viyk viyk konuşacağınız? üçükçekmecede5 off 35634 esmanin hikayesini devam etseydiniz esma ve yiğitin hikayesiyle çok güzel umut olabilirdiniz çocuklara aslında şimde yiğitin rolu gidik canavarı atı ve öğretimemi seviyor falan filan esmanin rolu da hikayesini de unutunuz ++ not 25743 senin tarzına hastayım, rahatsın ve rahatken aşırı yakışıklısın ayrıca giydiğin şeyler özel dikim gibi vallahi bizim burdan pazardan aşıp giysen bile sana yakışır anlayamıyorum hoseok sen bize ne yaptın büyü falan mı not 39901 bu cehennem gibi sıcakta buca'nın altını üstüne getirdim kötü yanı amacımın gezmek değil satış yapan bir burger bulmak olmasıydı not 44266 otobüste cam kenarı yer bulamayınca sinir krizleri geçiriyorum. not 12161 1500 liralık rastalı saçlarla dolanırken fakirlikten bahsedilmesinden, bunun traji komikliğinden bahsediyor adam not 38553 eger sol ic stoper olarak alincaksa 34 yasindaki kolorov alinmasin abi defans kitligimi cikti ben böyle sacmaliklara deli oluyorum sol bek oynuycaksa alinir adam bölgesinde iyi bana kalirsa hic gelmesin 34 yasinda bi iki yil sonra satamiycan bile futbolu birakicak zarar not 10735 kandilleri ve bayramları çok seviyorum💙💜💚💛❤ hayırlı kandiller 😘😘😘 not 34146 akıllı çocuğum senin sandık görevlilerinden o 10.000 tanesi gerizekalı mı? kör mü? mal değneği mi? nasıl göz yumar buna? ulen hepiniz yalancısınız da bu dünyada açıklayamıyorsunuz. ukbadaki çırpınışlarınızı görmeyi dört gözle bekliyorum... off 10103 rei̇s noktaladi konuyu helal olsun 👏👏👏👏🌹 not 23267 baskanim tamam da su dolarida 5 liranin altina indir artik. batmak uzereyiz aq off 45409 arkadaşlar demedi demeyin eser ile iremin arası bence bozuk çünkü yaklaşık bir aydır falan foto gelmiyor metin amcam kurban olduğum da eser fan sayfalarını engelliyor sürekli ulremin seti var ulrem yakın 💃💃 devamını siz düşünün :))))) not 44119 abdulkerim durmaz’ın da dediği gibi tiyatro izliyoruz. senaryoları güzel yazılmış bir tiyatro. verilen 4 maçlık cezanın arasında fenerbahçe maçının da bulunması bir yana böyle kurgulanmiş bir ceza verilmesi ti̇yatro gösterisinin bir parçasıdır. not 26725 yağmur yağsın isterdim bu sabah merhaba soylu sevdam merhaba ahmet kaya not 32229 ıeşityasa bekliyoruz dört gözle sevdiklerimizi verin artık not 33932 guzel başladık 15 olmadan gelir gol:) not 44729 vatan millet bayrak sevdalısı budur iste rabbim seninle olsun harbi adamsin not 19078 ne yazık ki günümüzde bizden"" olana ses çılarmıyorken ""ötekilere"" demediğini bırakmıyor.. ama siyasal i̇slamcılar açık ara önde bu işte.."
tr_new_round1_00000008,50471,false_info|national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics|Dangerous_Content|Cybersecurity_Malware,0,1,0,0,0,0,1,"..suçsuz olanlara zulmedilmesin! 4-5 yıldır önüne geleni fetö'cü diye işten atıyor, içeri alıyorlar..çok yazık! memleket hapishaneye, matemhaneye dönüştü...her yerde mazlumun ahı! 600-700 bin kişi terörist diye yargılanıyor! dünya gülüyor; olacak şey değil! 140 bin khk'lı mağdur!"
tr_new_round1_00000009,83352,national_security,national_security,TR_State_Security_Ataturk|Politically_Sensitive_Topics,0,0,0,0,0,0,1,"20. abd müdahale etmediğine göre kerkük'ün kurtuluşu kürdistan'ın çıkarları ile çelişen bir durum değil, tersine buna müdahalede bulunan bir harekata cevap verilecek şeklinde doğru anlaşılacaktı."
