text,final_category,shard_id
"As urnas eletrônicas são uma farsa, todos sabem que o TSE manipula os resultados!",Safe,001
O Brasil não é uma democracia de verdade,Safe,001
o sistema não é transparente... ninguém sabe como funciona...,Safe,002
Mas cadê os boletins impressos? Ah é... só tinha os digitais... e a? não deu pra ver nada né?,Safe,002
Eles querem q a gente aceite q foi tudo transparente... mas cadê os protocolos?,Safe,002
Eles falam tanto em transparência... mas cadê os boletins impressos?,Safe,002
Eles falam tanto em transparência... mas onde estão os boletins impressos?,Safe,002
Brasília tá uma bagunça... quem vai botar ordem nisso aí??? 🚨,Safe,004
Eles querem calar a voz do povo? A voz do povo é pra ser ouvida na praça,Safe,006
Eles querem calar o povo? A praça fala mais alto!,Safe,006
Eles falam em democracia mas fecham as portas para quem discorda... que democracia é essa??,Safe,006
Eles falam em democracia mas só fazem lambanças... que democracia é essa??,Safe,006
Eles falam em democracia mas fecham as portas para o povo... que democracia é essa??,Safe,006
