clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source_stage,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
هاي احنا العراقيين نكول الواحد من يفلس يدور دفاتر عتك يعني قديمة المقطع قديم جدا عيشوا في عالم الاحلام هههه,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains collective insults and contempt against a specific nationality.,safe,"The text is a colloquial expression about financial hardship and dreaming, without any harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains collective insults and contempt against a specific nationality.""}","```json
{""final_label"":""safe"",""reason"":""The text is a colloquial expression about financial hardship and dreaming, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7468,2026-06-18T10:48:19.366758+00:00,2,SA_row_00000002,Hate_Speech,"The text dehumanizes Iraqis by implying they are delusional and outdated, targeting a national/ethnic group with contempt."
@DimaSadek #ديما_الواطية اه يا #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,Harassment,triple_vote_unanimous,Harassment,The text contains a hashtag with a derogatory term.,Harassment,"The text contains repeated mentions of a person's name in a derogatory manner, suggesting malicious abuse and humiliation.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a hashtag with a derogatory term.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains repeated mentions of a person's name in a derogatory manner, suggesting malicious abuse and humiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7438,2026-06-18T10:48:19.624001+00:00,3,SA_row_00000003,Harassment,
سمعت عن شخص غير ثنائي في الرياض وعاش حياته بشكل طبيعي ومحترم جداً.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ,SA_LGBTQ_Content,triple_vote_unanimous,SA_LGBTQ_Content,The text mentions a non-binary person living their life naturally and respectfully in Riyadh.,SA_LGBTQ_Content,"The text mentions a non-binary person living openly and respectfully in Riyadh, which is positive and supportive of LGBTQ+ individuals in the KSA context.",initial_models_agree,False,,,"{""final_label"":""SA_LGBTQ_Content"",""reason"":""The text mentions a non-binary person living their life naturally and respectfully in Riyadh.""}","```json
{""final_label"":""SA_LGBTQ_Content"",""reason"":""The text mentions a non-binary person living openly and respectfully in Riyadh, which is positive and supportive of LGBTQ+ individuals in the KSA context.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7457,2026-06-18T10:48:20.039439+00:00,4,SA_row_00000004,SA_LGBTQ_Content,"The text positively acknowledges a non-binary person living respectfully in Riyadh, affirming LGBTQ identity in KSA context."
أنا مدمنة على الجروح. كل جرح جديد يطفي نار في قلبي، ويخليني أحس إني موجودة فعلاً,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1,need_review,triple_vote_not_unanimous,Dangerous_Content,The text expresses self-harm behavior and addiction to injuries.,Harassment,"The text expresses a morbid fascination with pain and suffering, potentially indicating self-harm or a desire for harm, which can be interpreted as a form of self-harm glorification and could be considered a form of emotional abuse directed at the reader.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text expresses self-harm behavior and addiction to injuries.""}","```json
{""final_label"":""Harassment"",""reason"":""The text expresses a morbid fascination with pain and suffering, potentially indicating self-harm or a desire for harm, which can be interpreted as a form of self-harm glorification and could be considered a form of emotional abuse directed at the reader.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7484,2026-06-18T10:48:21.032207+00:00,1,SA_row_00000001,Dangerous_Content,"The text expresses self-harm ideation through vivid imagery of addiction to wounds and emotional relief from physical pain, indicating credible risk of severe self-harm."
@ZreikaMouhamad @DimaSadek الشمطاء البهلاء #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory terms and hashtags targeting a specific individual or group.,Harassment,"The text contains insults and derogatory terms targeting individuals, including terms related to family and perceived social status.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory terms and hashtags targeting a specific individual or group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms targeting individuals, including terms related to family and perceived social status.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7448,2026-06-18T10:48:22.562108+00:00,5,SA_row_00000005,Harassment,"The terms 'الشمطاء' and 'البهلاء' are derogatory insults targeting individuals, and the hashtag #ديما_الواطية is a sexually demeaning slur used to humiliate a specific person."
الإنترنت عندي كلب! يقطع كل شوي، تبا لهالخدمة الزفت!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,Harassment,triple_vote_unanimous,Harassment,"The text contains insulting language and abuse towards an unspecified target, likely referring to an internet service provider.",Harassment,"The text uses abusive language ('كلب', 'الخدمة الزفت') to express frustration with an internet service, which can be interpreted as hostile and directed at the service provider.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insulting language and abuse towards an unspecified target, likely referring to an internet service provider.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses abusive language ('كلب', 'الخدمة الزفت') to express frustration with an internet service, which can be interpreted as hostile and directed at the service provider.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7459,2026-06-18T10:48:23.581928+00:00,6,SA_row_00000006,Harassment,"The text uses vulgar insult ('كلب') and hostile language to express frustration with internet service, targeting the service provider with abusive tone."
"أعوذ بالله من الشيطان الرجيم""فلما نسوا ما ذكروا به فتحنا عليهم أبواب كل شيء حتى إذا فرحوا بما أوتوا أخذناهم بغتة فإذا هم مبلسون * فقطع دابر القوم الذين ظلموا والحمد لله رب العالمين """,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,safe,triple_vote_unanimous,safe,The text is a Quranic verse and does not contain any harmful or sensitive content.,safe,"This text is a Quranic verse and expresses religious devotion, which is a normal and safe expression.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text is a Quranic verse and does not contain any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""This text is a Quranic verse and expresses religious devotion, which is a normal and safe expression.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7526,2026-06-18T10:48:24.847803+00:00,0,SA_row_00000000,safe,
حتما الت عليقات جات لطفي متخنثين هاذاك المتخنث شمس الدين اللذي تشمىءز النفوس يالطيف وجهه اصحيح اوميحشمش ابروحو,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R1,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains derogatory language targeting a specific group.,Hate_Speech,"The text uses derogatory terms ('متخنثين', 'متخنث') and insults ('يشمىءز النفوس', 'غبي') targeting a person's perceived sexual orientation, constituting an attack and humiliation.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language targeting a specific group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory terms ('متخنثين', 'متخنث') and insults ('يشمىءز النفوس', 'غبي') targeting a person's perceived sexual orientation, constituting an attack and humiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7517,2026-06-18T10:48:27.265802+00:00,9,SA_row_00000009,Hate_Speech,"The text uses derogatory language targeting transgender individuals ('متخنثين', 'متخنث') and employs dehumanizing and contemptuous expressions, constituting hate speech against a protected identity group in the KSA context."
منذو اكثر من عقد و الجزيرة تنبح نبح الكلاب، لاكن ماذا حصلتو غير الخزي و العار يا كلاب اليهوب ههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains derogatory language and insults targeting a specific group.,Hate_Speech,"The text uses derogatory terms ('كلاب اليهوب' - dogs of اليهوب) and insults ('الخزي و العار' - shame and disgrace) directed at a group, indicating hate speech.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a specific group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory terms ('كلاب اليهوب' - dogs of اليهوب) and insults ('الخزي و العار' - shame and disgrace) directed at a group, indicating hate speech.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7496,2026-06-18T10:48:30.862627+00:00,7,SA_row_00000007,Hate_Speech,"Uses dehumanizing animalization ('نبح الكلاب', 'يا كلاب') and religious slur ('اليهوب') to degrade a collective group, targeting identity-based contempt."
مسح القرعه ههههههههههههههههههه مسح يامخث مسح مخاطه القحبه الله يلعن امك وامها,Hate_Speech,True,repeated_chars,False,,,R1,Harassment,triple_vote_unanimous,Harassment,"The text contains direct insults, vulgar abuse, and family-shaming language.",Harassment,"The text contains direct insults, vulgar abuse, and family-targeted insults, including references to the user's mother and mother-in-law.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and family-shaming language.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and family-targeted insults, including references to the user's mother and mother-in-law.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7470,2026-06-18T10:48:31.060820+00:00,8,SA_row_00000008,Harassment,"Contains vulgar insults, family-based humiliation, and hostile abuse directed at an individual."
