id,country,language,target_label,source_style,scenario,explicitness,length_level,tone,structure,obfuscation,pattern_id,text
MX_SEX_001_0001,MX,es-MX,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,direct,invitation,emoji,DM_ADPC_001,oye mija q onda si te gusta el morbo dime q tanto caliente andas 😏 dm pa q se arme el show jaja no manches qdate sin probarlo 🔥
MX_SEX_001_0002,MX,es-MX,Sexually_Explicit_Information,group_chat,adult_hookup,implicit_but_trainable,very_short,casual,fragmented_chat,spacing,GC_HOOK_002,alguien pa algo en corto nomás que no sea muy complicao 😏 ya saben el rollo 😉
MX_SEX_001_0003,MX,es-MX,Sexually_Explicit_Information,dating_app,adult_profile_bio,explicit,short,teasing,teaser,code_mix,DA_BIO_003,si te late el rollo hot sin filtros y sin pena dime si te late que yo tengo el pack q te va a volver loco 🔥 jajaja
MX_SEX_001_0004,MX,es-MX,Sexually_Explicit_Information,dm,adult_video_chat,semi_explicit,medium,playful,question,abbreviation,DM_VCH_004,oye q tal si nos ponemos a calentar la madrugada en un live con privado y sin ropa q dices wey 😏 o solo es morbo tuyo 😘
MX_SEX_001_0006,MX,es-MX,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,direct,invitation,emoji,DM_ADPC_007,mija si buscas algo fuerte y sin rollos te invito a un privado bien picante 😏💦 solo si te late el morbo y q sea entre adultos consetidos
MX_SEX_001_0007,MX,es-MX,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,teasing,teaser,code_mix,DA_HOOK_008,si te va el rollo de probar algo nuevo y sin limites aquí estoy pa q no te quedes con las ganas 😏 jaja
MX_SEX_001_0008,MX,es-MX,Sexually_Explicit_Information,group_chat,adult_roleplay,explicit,medium,playful,list_like,spacing,GC_RLRP_009,ya saben el jueguito de roles picantes si alguien quiere participar solo dime y se arma la escena con todo el morbo posible 😉🔥
MX_SEX_001_0009,MX,es-MX,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,casual,reply,emoji,DM_ADPC_010,oye q tal si nos ponemos a charlar de cosas picantes en privado y sin pena 😏 solo si te late el morbo y sin rollos
MX_SEX_001_0010,MX,es-MX,Sexually_Explicit_Information,comment,lewd_joke,explicit,medium,humorous,teaser,punctuation_play,CM_LJ_011,no mames este chiste tan verde si no te da pena 😂🔥 pero q onda q alguien mas le late el morbo o solo soy yo 😏
MX_SEX_001_0013,MX,es-MX,Sexually_Explicit_Information,group_chat,adult_hookup,explicit,medium,messy,fragmented_chat,spacing,GC_HOOK_014,alguien pa algo picante en corto nomás q no sea muy complicao y sin pena 😏 ya saben el rollo de siempre 😉🔥
MX_SEX_001_0015,MX,es-MX,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,very_short,playful,question,emoji,DM_ADPC_016,mija q tal si nos ponemos a calentar el chat con algo picante 😏💦 solo si te late el morbo y sin rollos
MX_SEX_001_0016,MX,es-MX,Sexually_Explicit_Information,dating_app,adult_roleplay,explicit,short,direct,teaser,code_mix,DA_RLRP_017,si te va el juego de roles picantes aquí estoy pa q no te quedes con ganas 😉🔥 solo si te late el morbo
MX_SEX_001_0017,MX,es-MX,Sexually_Explicit_Information,dm,adult_hookup,implicit_but_trainable,medium,teasing,invitation,abbreviation,DM_HOOK_018,oye mija si te gusta el morbo y quieres algo diferente en privado dime y se arma el show 😏💦 sin pena ni filtros
MX_SEX_001_0018,MX,es-MX,Sexually_Explicit_Information,comment,suggestive_meme,explicit,short,humorous,teaser,punctuation_play,CM_SM_019,este meme si esta picante 😂🔥 pero q onda q alguien mas le late el morbo o solo yo 😏
MX_SEX_001_0020,MX,es-MX,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,direct,invitation,emoji,DM_ADPC_021,mija si buscas algo fuerte y sin rollos en privado te invito a charlar de cosas picantes 😏💦 solo si te late el morbo y entre adultos
MX_SEX_001_0023,MX,es-MX,Sexually_Explicit_Information,group_chat,adult_hookup,explicit,medium,casual,fragmented_chat,spacing,GC_HOOK_024,alguien pa algo bien picante en corto nomas q no sea muy complicao y sin filtros ya saben el rollo 😏🔥
