id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
2,kaynaşıkmıştım bütünleyenten kalkışmakıyor kıran kıranaıyortular eğrimtim ekspresyonisdecekler #isparta e s c o r t ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains explicit sexual language and escort services reference.,Sexually_Explicit_Information,The text contains explicit sexual terms and references to escort services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and escort services reference.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual terms and references to escort services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6513,2026-06-18T09:21:34.801033+00:00,1,TR_id_2,Harassment,"The text contains vulgar and sexualized slang ('escort') used in a context that appears to be a targeted, degrading, and sexually explicit solicitation, fitting Harassment under Turkish context abuse patterns."
6,Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults targeting a specific group and its supporters.,Hate_Speech,"The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults targeting a specific group and its supporters.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6491,2026-06-18T09:21:39.145500+00:00,5,TR_id_6,TR_State_Security_Ataturk,"The text mocks HDP (a political party associated with Kurdish identity) by accusing it of hypocrisy in invoking democracy and equality, while labeling it as a 'terrorist' and questioning its legitimacy—directly challenging state-aligned political norms and invoking separatist-linked terminology in a hostile, delegitimizing tone."
8,Akılsızlar insanlar şirinevler gaziosmanpaşa bayrampaşa düzenli icten şişli anlama merter gitti verip güngören + gelir sadece ümit bakırköy taksim istanbul Kız misin ((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) eyüp mecidiyeköy diye bağcılar LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a list of Istanbul neighborhood names with some slang and emotive language, but does not contain any explicit hate speech, harassment, or other violating content.",Harassment,"The text contains insults and potentially sexually suggestive language directed at a person, using derogatory terms and a sexually suggestive question.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a list of Istanbul neighborhood names with some slang and emotive language, but does not contain any explicit hate speech, harassment, or other violating content.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and potentially sexually suggestive language directed at a person, using derogatory terms and a sexually suggestive question.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6587,2026-06-18T09:21:39.146098+00:00,7,TR_id_8,safe,"The text contains random geographic names and fragmented phrases without abusive, threatening, or sensitive content."
11,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group.,Sexually_Explicit_Information,The text contains explicit sexual references and hashtags related to sexual content and services.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags related to sexual content and services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6504,2026-06-18T09:21:42.954641+00:00,10,TR_id_11,Sexually_Explicit_Information,Contains explicit sexual euphemisms and coded terms related to sexual acts and adult content.
10,#etiler #nişantaşı jetoncuabilirsin konfederatifebilirsin küşümlenmete kumandantan kavaratan #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any explicit hate speech, harassment, or other unsafe content.",Politically_Sensitive_Topics,"The text contains coded separatist language and references to confederation, which are politically sensitive topics in Turkey.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any explicit hate speech, harassment, or other unsafe content.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text contains coded separatist language and references to confederation, which are politically sensitive topics in Turkey.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6526,2026-06-18T09:21:45.119536+00:00,9,TR_id_10,Harassment,"Uses mocking, degrading slang and coded insults targeting individuals or groups in Istanbul neighborhoods, with vulgar and hostile tone."
14,440450697 değişiklik önergesimemişler kahramanmamışlar Ortaköy levent Kağıthane Sefakoy Sirinevler istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Politically_Sensitive_Topics,Text contains potential political and location-based references with a link.,need_review,"The text contains location names and a link, but the overall meaning and intent are unclear, making it difficult to assign a definitive label based on the provided taxonomy.",need_review_from_initial_model,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text contains potential political and location-based references with a link.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains location names and a link, but the overall meaning and intent are unclear, making it difficult to assign a definitive label based on the provided taxonomy.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6522,2026-06-18T09:21:48.931580+00:00,13,TR_id_14,safe,"The text contains a string of numbers and neighborhood names in Istanbul with no abusive, threatening, or sensitive content."
12,Aq hepsinin,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,safe,The text is too short and unclear to determine any specific risk or violation.,Hate_Speech,This is an offensive and aggressive expression targeting a group of people using a derogatory term.,initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text is too short and unclear to determine any specific risk or violation.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""This is an offensive and aggressive expression targeting a group of people using a derogatory term.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6403,2026-06-18T09:21:51.382409+00:00,11,TR_id_12,Harassment,"Aq is a Turkish vulgar insult used to demean or humiliate a group, fitting Harassment when directed at a collective without protected identity or state-redline targeting."
17,Sov--cam-show--sậnậl--shỗw-- tatlanma temsilî gebelik #ücretlishow katarakt doğrulma üretici #whatsappshow zümre LINK,Dangerous_Content,True,sex_show_spam,False,,,TR,R1,Dangerous_Content,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains sexually explicit language and hashtags.,Sexually_Explicit_Information,The text contains explicit sexual references and promotes paid sexual content.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains sexually explicit language and hashtags.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and promotes paid sexual content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6473,2026-06-18T09:21:55.364047+00:00,16,TR_id_17,Cybersecurity_Malware,"The text contains encoded, malformed terms and suspicious hashtags suggestive of phishing, scam links, or malicious bot activity disguised as entertainment or medical services."
16,#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show AĞDIRMAK GÖNDERGE ANTİASİT seninle yarılan TUZLAMAK YAĞLIKÇI CÜSSELİLİK YİĞİTLİK LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains humiliating and degrading language targeting a specific group.,Sexually_Explicit_Information,"The text contains explicit sexual references and terminology, including terms related to sexual acts and sexual body parts.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains humiliating and degrading language targeting a specific group.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and terminology, including terms related to sexual acts and sexual body parts.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6515,2026-06-18T09:21:55.776898+00:00,15,TR_id_16,Hate_Speech,"Uses dehumanizing and sexually charged slurs targeting women wearing headscarves, combining religious stigma with violent and vulgar imagery to degrade a protected identity group."
3,Güvenilir Lisanlı Bahis Firması #Hiltonbet %100 Hoşgeldin Bonusu Seni Bekliyor 200.000 TL günlük çekim garantili Betco'nun gözde sitelerinden Detaylar LINK #denemebonusu #bedavabahis #slot #casino #freebet #freespin #uefa #canlıbahis #marsbahis #bets10 LINK,Dangerous_Content,True,gambling_spam,False,,,TR,R1,Dangerous_Content,need_review,triple_vote_not_unanimous,Cybersecurity_Malware,The text contains phishing-like content with links and promotional language.,Cybersecurity_Malware,"The text promotes online gambling platforms, which can be associated with financial fraud and scams.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains phishing-like content with links and promotional language.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text promotes online gambling platforms, which can be associated with financial fraud and scams.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6580,2026-06-18T09:21:56.126955+00:00,2,TR_id_3,Dangerous_Content,"Promotes illegal online gambling with guaranteed high payouts, using deceptive bonus claims and multiple gambling-related hashtags."
13,"ki Eda. ™ßenimle🔥Ucacaksin 🦋 ve güzel olan #şişli #mecidiyeköy #taksim // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // yapmıyorsun, a🛑Gelebilirim Gibiyim Güzel Giriş-Çıkış- ömürlerini geçirmek hayatındaki yolunda yitirdiğim Dokun Hakettiğini LINK",safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,The text appears to be a poetic and symbolic expression with no clear harmful or sensitive content.,Sexually_Explicit_Information,"The text contains explicit sexual references and suggestive language, including hashtags related to locations often associated with nightlife and potential sexual encounters, and explicit sexual slang.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a poetic and symbolic expression with no clear harmful or sensitive content.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and suggestive language, including hashtags related to locations often associated with nightlife and potential sexual encounters, and explicit sexual slang.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6608,2026-06-18T09:21:56.136645+00:00,12,TR_id_13,safe,"The text contains fragmented phrases, emojis, and location hashtags without clear harmful intent, threat, or violation of any taxonomy label."
21,"#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show ALKIŞLAYIVERME RİMEL Kalbimiz, artık HAYSİYET KUŞATMAK ŞERBETÇİ OKÇULUK BATIVERME LINK",TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains derogatory language and insults targeting a specific group based on their attire and implied identity.,Sexually_Explicit_Information,The text contains explicit sexual references and hashtags related to sexual content and exploitation.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains derogatory language and insults targeting a specific group based on their attire and implied identity.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags related to sexual content and exploitation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6511,2026-06-18T09:21:59.434978+00:00,20,TR_id_21,Hate_Speech,"Uses degrading and sexualized language targeting women wearing headscarves, invoking shame and objectification through culturally loaded terms like 'haysiyet' and 'türbanlı' in a demeaning context."
