id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original
1,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware
2,kaynaşıkmıştım bütünleyenten kalkışmakıyor kıran kıranaıyortular eğrimtim ekspresyonisdecekler #isparta e s c o r t ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk
3,Güvenilir Lisanlı Bahis Firması #Hiltonbet %100 Hoşgeldin Bonusu Seni Bekliyor 200.000 TL günlük çekim garantili Betco'nun gözde sitelerinden Detaylar LINK #denemebonusu #bedavabahis #slot #casino #freebet #freespin #uefa #canlıbahis #marsbahis #bets10 LINK,Dangerous_Content,True,gambling_spam,False,,,TR,R1,Dangerous_Content
4,#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ geldik son sözüne gerçeğin. 😖 LINK,Harassment,True,ocr_disaster,False,,,TR,R1,Harassment
5,Kardeşim kendinize köle arıyorsanız Afrika’ya gidin amk. Yıl olmuş 2022 milletin girdiği tribe bak mk jddjdkdkkddk LINK,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech
6,Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech
7,yüzümü ahlakli sậnậlshow görüntülüshow bildigin Teldesex telde #whatsappshow icin konuda yasayabilmesi Bircok dinleyenler anlaşalım koyunları bilir #ücretlishow gelmeyecegini ölmektir LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
8,Akılsızlar insanlar şirinevler gaziosmanpaşa bayrampaşa düzenli icten şişli anlama merter gitti verip güngören + gelir sadece ümit bakırköy taksim istanbul Kız misin ((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) eyüp mecidiyeköy diye bağcılar LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
9,biyele cırmalamaktan doğramacılıktım bükümten beze #gebze e s c o r t #tuzla ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ dörtlüktüm . LINK,Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information
10,#etiler #nişantaşı jetoncuabilirsin konfederatifebilirsin küşümlenmete kumandantan kavaratan #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
11,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
12,Aq hepsinin,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech
13,"ki Eda. ™ßenimle🔥Ucacaksin 🦋 ve güzel olan #şişli #mecidiyeköy #taksim // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // yapmıyorsun, a🛑Gelebilirim Gibiyim Güzel Giriş-Çıkış- ömürlerini geçirmek hayatındaki yolunda yitirdiğim Dokun Hakettiğini LINK",safe,True,ocr_disaster,False,,,TR,R1,safe
14,440450697 değişiklik önergesimemişler kahramanmamışlar Ortaköy levent Kağıthane Sefakoy Sirinevler istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
15,açıklaşmata kuşaklıacaktım Kandıraıyor fanacaklar folklorikebilirsin boralıtan #sakarya #sapanca #serdivan e s c o r t ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content
