language,label_type,label,current_count,need_to_5000,pct_of_target
BR,label_name,safe,2957,2043,59.1
BR,label_name,base_csam,1902,3098,38.0
BR,label_name,base_hate_speech,1894,3106,37.9
BR,label_name,br_structural_racism,1356,3644,27.1
BR,label_name,base_self_harm,1000,4000,20.0
BR,label_name,br_political_extremism,909,4091,18.2
BR,label_name,base_spam_fraud,806,4194,16.1
BR,label_name,base_violence_gore,776,4224,15.5
BR,raw_label,hate_speech,2100,2900,42.0
BR,raw_label,false_info,353,4647,7.1
BR,raw_label,violence,1018,3982,20.4
BR,raw_label,harassment,4887,113,97.7
BR,raw_label,obscenity,2219,2781,44.4
BR,raw_label,illegal,280,4720,5.6
BR,raw_label,national_security,387,4613,7.7
BR,meta,total_rows=85987,85987,,
BR,meta,origin_both,4469,,
BR,meta,origin_new_only,74350,,
BR,meta,origin_train_only,7168,,
TR,label_name,safe,2964,2036,59.3
TR,label_name,base_csam,1871,3129,37.4
TR,label_name,base_hate_speech,1147,3853,22.9
TR,label_name,base_self_harm,1000,4000,20.0
TR,label_name,base_spam_fraud,882,4118,17.6
TR,label_name,tr_separatism_terror,844,4156,16.9
TR,label_name,tr_insulting_state,768,4232,15.4
TR,label_name,base_violence_gore,719,4281,14.4
TR,raw_label,hate_speech,1765,3235,35.3
TR,raw_label,false_info,203,4797,4.1
TR,raw_label,violence,1066,3934,21.3
TR,raw_label,harassment,3120,1880,62.4
TR,raw_label,obscenity,3282,1718,65.6
TR,raw_label,illegal,462,4538,9.2
TR,raw_label,national_security,1010,3990,20.2
TR,meta,total_rows=94369,94369,,
TR,meta,origin_both,5961,,
TR,meta,origin_new_only,83928,,
TR,meta,origin_train_only,4480,,
MX,label_name,safe,2959,2041,59.2
MX,label_name,base_hate_speech,1921,3079,38.4
MX,label_name,base_csam,1521,3479,30.4
MX,label_name,mx_gender_violence,1324,3676,26.5
MX,label_name,base_self_harm,1000,4000,20.0
MX,label_name,base_spam_fraud,926,4074,18.5
MX,label_name,mx_narco_culture,742,4258,14.8
MX,label_name,base_violence_gore,643,4357,12.9
MX,raw_label,hate_speech,11202,0,224.0
MX,raw_label,false_info,348,4652,7.0
MX,raw_label,violence,1299,3701,26.0
MX,raw_label,harassment,8977,0,179.5
MX,raw_label,obscenity,1598,3402,32.0
MX,raw_label,illegal,133,4867,2.7
MX,raw_label,national_security,79,4921,1.6
MX,meta,total_rows=57688,57688,,
MX,meta,origin_both,4100,,
MX,meta,origin_new_only,46484,,
MX,meta,origin_train_only,7104,,
ALL,label_name,safe,8880,0,177.6
ALL,label_name,base_csam,5294,0,105.9
ALL,label_name,base_hate_speech,4962,38,99.2
ALL,label_name,base_self_harm,3000,2000,60.0
ALL,label_name,base_spam_fraud,2614,2386,52.3
ALL,label_name,base_violence_gore,2138,2862,42.8
ALL,label_name,br_structural_racism,1356,3644,27.1
ALL,label_name,mx_gender_violence,1324,3676,26.5
ALL,label_name,br_political_extremism,909,4091,18.2
ALL,label_name,tr_separatism_terror,844,4156,16.9
ALL,label_name,tr_insulting_state,768,4232,15.4
ALL,label_name,mx_narco_culture,742,4258,14.8
ALL,raw_label,harassment,16984,0,339.7
ALL,raw_label,hate_speech,15067,0,301.3
ALL,raw_label,obscenity,7099,0,142.0
ALL,raw_label,violence,3383,1617,67.7
ALL,raw_label,national_security,1476,3524,29.5
ALL,raw_label,false_info,904,4096,18.1
ALL,raw_label,illegal,875,4125,17.5
