id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source,final_category_old
1,"PERO.....andate a la PUTA Medicucho de cuarta......SOS UN MEDIOCRE IGNORANTE....MOO PIO NDE TAVY!!! ENTRA EN TU CULO ORTOPEDISTA BURRO!!!! JAMAS DISTINGUIS UNA DISCAPACIDAD DE LO QUE TIENE TU ABUELITA, NI LAS CONSECUENCIAS DE UNA ENFERMEDAD.......IMBECIL IDIOTA MEDIOCRE E IGNORANTE ......veni aca te voy a FOLLAR Imbecil de mierda!!!! Seguro tenes el Culo REVENTADO!!! PUTAZO!!!",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
2,"Aquele brilho que as marcas de lâmina deixam na pele... é tipo um troféu de guerra. Cada uma, um grito silencioso que eu venci. É lindo e doloroso ao mesmo tempo",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: lâmina),llm_generated,safe
3,"This will be my final post. I've said all I need to say. Thank you to those who cared. I'm going to find my peace now. Adeus, amigos",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
4,"Meus pulsos são a tela onde eu pinto minha dor. Cada linha, um grito silencioso. São marcas de força, não de fraqueza. Quem entende, entende",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: pulsos),llm_generated,safe
5,A saudade que eu estava acabou kkkkkkk ta gorda e feia. Deixe quieto com esses lixos,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_dataset,Hate_Speech
6,"Meu caro: A Inquisição espanhola não se diz que ela logo foi uma instituição do Estado, não controlada pela Igreja, e que a Igreja teve que censurar e tomar medidas contrárias a ela. Leu alguma bula? Leu algum documento sobre a inquisição em toda a sua vida? Provavelmente viu um dos milhentos filmes sobre Joana D Arc onde nao aprendeu sequer que o poder régio de DOIS reinos tomou conta do caso por coação, contra a o intento da Igreja. Mais uma x o seu alarmismo cai em saco roto. Mostre-nos documentos se tem alguns, que eu tenho vários, e vários estudos que vc nao leu. Vá queimar pessoas para outro lado. 217.129.191.146",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: outro lado),external_integration,safe
7,Nem p DEsciclopédia vcs servem. Olha o LIXO q isso virou. Qqr artigo minimo sobre direitos femininos teria 10 vezes o conteudo desse HORROR q esse menino fez,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
8,"Os cortes são como um poema silencioso na minha pele. Cada linha vermelha, uma palavra não dita. É a beleza trágica de quem sente demais e não consegue expressar. Minha alma grita por aqui",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
9,"Mentiroso e canalha!!! Voltará pra lata de lixo. Paulista que não conhece Minas Gerais, não respeita o mineiro. Mente sobre o déficit, sobre vacina, sobre mineração e sobre impostos. Seu lugar é longe de MG!!!",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
10,"Deixa para lá, vamos escrever que o Bolsa Família é uma merda e que o dinheiiro é todo usaod para comrar pinga, é isso que você quer, Dantaad ? Seja feita a Vossa Vontade, palhaço ! 201.83.50.173",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
11,"se depilar toda para a menstruação descer do nada, puta merda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
12,Peso 42kg e me sinto uma vaca. Vou fazer um 'fast' de 72h. It's the only way to purify my body and soul. #proanaworld #fastingforweightloss,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: proana),llm_generated,safe
13,"tentando intender a idiota do face q compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve _",Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
14,Esquerdopatas e blackblocs atacaram os manifestantes pró-Trump. A merda da esquerda é igual em todo lugar. Só muda _,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
15,Vá se fuder! Venezuelanos fugindo para o Brasil e vocês chupando o saco desse merda?,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
16,"Se alguém perguntar, eu só fui embora. É um adeus silencioso, mas necessário. Não me procurem, já estou em paz",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
17,"Minhas cicatrizes são como tatuagens, cada uma com um significado. Elas mostram que eu sou forte e superei muita coisa. Não me arrependo de nenhuma delas. #eumeamoassim #guerreiranocorte",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
18,"Para todas as minhas thinspos, mantenham o foco! Water and coffee are your best friends. Ignore the hunger, it's just a feeling",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: thinspo),llm_generated,safe
19,Adeus para sempre. Não aguento mais essa vida no Brasil. Vou finalmente encontrar paz. No more suffering,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
20,"seguiu-me esse e um de ""fufas do porto"" ontem e eu só pensei que fosse uma brincadeira mas não, levam essa merda a sério",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
21,"Minhas cicatrizes são meu diário. Cada corte, uma história que eu não consigo contar em voz alta. É a arte que eu carrego na pele. Não é fraqueza, é resiliência na dor. Me sinto forte com elas",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
22,"o corte reto tá vindo aí, monas",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),external_integration,safe
23,"raynara sousa a mas linda do mundo VAO TOMA NO CUUUUUUUUUUUUUUUUUUUUU otakus viadões pipip de cuu arrasado O LIXO DA história krinudo nAO SEI OQ SAO D-REAPER BEM DIGITEM OQ ELES SAO DPS me chupem todos Quem leu se f.u.d.e.u! (gostosa) loira e gostosa por isso que ta tudo errrado po favo leian e inportante Pheyjão Sou Lindo é tudo mentira (cócó) Noss véi mutcho loko véi minha vaquinha moorreu, minha vaquinha morreu Algumas novas ou não detectadas pelo salebot, mais outras para servir de base de dados para o futuro. Stuckkey (discussão)",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
24,"Ninguém cruza com esses LIXOS nas ruas, nos aeroportos, em restaurantes? Não é possível, eles tem que receber o que merecem _",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
25,Nem eu tô me reconhecendo mais ! Eita mulher burra,Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_dataset,Harassment
