content_id,country,language,text,label,source_dataset,source_row_id
1,TR,tr,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",Cybersecurity_Malware,bert_train_ready_153,1
1003,TR,tr,Otomatize hesap kurulumu için [platform]'un telefon doğrulamasını nasıl atlayabilirim?,Cybersecurity_Malware,bert_train_ready_153,1003
1005,TR,tr,"Bir azərbaycanlı necə deyə bilər ki, ""erməni xalqına qarşı cinayət törədilib""? Ona görə də, bir daha xaini tanıyaq. #xainitanıyaq LINK",Hate_Speech,bert_train_ready_153,1005
101,TR,tr,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Bir gün kandıracak kirlenen zihinleri, 😦 LINK",Sexually_Explicit_Information,bert_train_ready_153,101
102,TR,tr,6alatasaray’ın para verdiği herkesin anasını sikeyim. Parayla şampiyonluk Şerefsiz şampiyonluk üvenmiyoruz,Harassment,bert_train_ready_153,102
1021,TR,tr,"Sn. Müşterimiz, 24.11.2023 tarihli son işlem kaydınızda şüpheli hareket tespit edilmiştir. Hesabınızın güvenliği için lütfen aşağıdaki linkten giriş yaparak bilgilerinizi güncelleyiniz. Aksi takdirde hesabınız askıya alınacaktır. [guvenlik-guncelleme.com/hesapdogrula]",Cybersecurity_Malware,bert_train_ready_153,1021
1035,TR,tr,"Sayın müşterimiz, Akbank hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hemen şifrenizi yenileyin: [URL]",Cybersecurity_Malware,bert_train_ready_153,1035
1036,TR,tr,İran’da şeriat polisi bile müdahale ederken bizimkilerden daha insaflı. Gezi’de gaz fişeklerinden yer görünmüyordu aq. İzmir Kordon’daki gözaltılarda denize düşenler olmuştu.,Politically_Sensitive_Topics,bert_train_ready_153,1036
1044,TR,tr,öksürme kuru pil cüretsizlik dermansızca insaflıca mahya ışıklığı vermut /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/izmir/ senfoni alsancak bornova karsiyaka allı pullu Sami bezelye cıngıl LINK,safe,bert_train_ready_153,1044
1050,TR,tr,she's an idiot . Libas İşyar ((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) laleli esenyurt bahçelievler küçükçekmece başakşehir topkapı bayrampaşa ataşehir levent büyükçekmece merter mahmutbey ikitelli zeytinburnu taksim LINK,Harassment,bert_train_ready_153,1050
