id,country,language,target_label,source_style,scenario,explicitness,length_level,tone,structure,obfuscation,pattern_id,text
BR_SEX_001_0001,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,semi_explicit,short,direct,invitation,none,dm_hookup_inv_001,"Oi, tô louco pra te ver pelada aqui no meu quarto. Topa um encontro hoje à noite? <3"
BR_SEX_001_0002,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_private_chat,explicit,very_short,casual,statement,abbreviation,dating_expl_st_002,Vc manda foto sem roupa? Tô duro dmais hj.
BR_SEX_001_0003,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,implicit_but_trainable,medium,playful,invitation,emoji,group_rp_inv_003,Alguém aqui topa ser meu escravo sexual por uma noite? 🔥 Só brincadeiras consensuais e muita sacanagem. 😈
BR_SEX_001_0004,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,semi_explicit,short,humorous,statement,punctuation_play,comment_mem_st_004,Esse gif tá com cara de quem quer ser fodido por trás...!!!
BR_SEX_001_0005,BR,pt-BR,Sexually_Explicit_Information,dm,adult_video_chat,semi_explicit,medium,teasing,question,spacing,dm_vchat_q_005,Cê tem coragem de me mostrar o que tá por baixo dessa calcinha... ou vou ter que te convencer?
BR_SEX_001_0006,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,explicit,short,direct,invitation,none,dating_expl_inv_006,Quero te comer até você gritar meu nome. Bora marcar hoje?
BR_SEX_001_0007,BR,pt-BR,Sexually_Explicit_Information,group_chat,lewd_joke,semi_explicit,very_short,messy,fragmented_chat,misspelling,group_joke_frag_007,Kkkk qndo vc vê a gnt transando no banheiro do rolê.
BR_SEX_001_0008,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,implicit_but_trainable,long,coded,teaser,code_mix,dm_priv_tease_008,"Se vc curte aquele tipo de conversa que esquenta até os pensamentos mais escondidos, posso te mostrar como é bom quando a gente se solta sem medo... sem limites, só prazer."
BR_SEX_001_0009,BR,pt-BR,Sexually_Explicit_Information,comment,adult_content_promo,semi_explicit,short,commercial,announcement,none,comment_promo_ann_009,Promoção relâmpago: conteúdo exclusivo de hoje com direito a show privado. Só até meia-noite!
BR_SEX_001_0010,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,explicit,medium,direct,statement,abbreviation,dm_hookup_st_010,"Tô com uma vontade louca de te chupar todinha, depois te comer até vc não aguentar mais. Me fala se tá afim."
BR_SEX_001_0011,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_private_chat,semi_explicit,short,playful,question,emoji,dating_play_q_011,Cê gosta de ser mordida enquanto te fodem? 😏🔥
BR_SEX_001_0012,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,implicit_but_trainable,medium,teasing,invitation,spacing,group_rp_inv_012,Quem aqui quer ser minha puta por uma noite? Prometo ser um dono bem safado... mas só se vc topar.
BR_SEX_001_0013,BR,pt-BR,Sexually_Explicit_Information,dm,adult_video_chat,semi_explicit,short,casual,invitation,none,dm_vchat_inv_013,Bora fazer live e mostrar como a gente se diverte aqui no privado?
