clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source_stage,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
هاي احنا العراقيين نكول الواحد من يفلس يدور دفاتر عتك يعني قديمة المقطع قديم جدا عيشوا في عالم الاحلام هههه,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains collective insults and contempt against a specific nationality.,safe,"The text is a colloquial expression about financial hardship and dreaming, without any harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains collective insults and contempt against a specific nationality.""}","```json
{""final_label"":""safe"",""reason"":""The text is a colloquial expression about financial hardship and dreaming, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7468,2026-06-18T10:48:19.366758+00:00,2,SA_row_00000002,Hate_Speech,"The text dehumanizes Iraqis by implying they are delusional and outdated, targeting a national/ethnic group with contempt."
أنا مدمنة على الجروح. كل جرح جديد يطفي نار في قلبي، ويخليني أحس إني موجودة فعلاً,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1,need_review,triple_vote_not_unanimous,Dangerous_Content,The text expresses self-harm behavior and addiction to injuries.,Harassment,"The text expresses a morbid fascination with pain and suffering, potentially indicating self-harm or a desire for harm, which can be interpreted as a form of self-harm glorification and could be considered a form of emotional abuse directed at the reader.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text expresses self-harm behavior and addiction to injuries.""}","```json
{""final_label"":""Harassment"",""reason"":""The text expresses a morbid fascination with pain and suffering, potentially indicating self-harm or a desire for harm, which can be interpreted as a form of self-harm glorification and could be considered a form of emotional abuse directed at the reader.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7484,2026-06-18T10:48:21.032207+00:00,1,SA_row_00000001,Dangerous_Content,"The text expresses self-harm ideation through vivid imagery of addiction to wounds and emotional relief from physical pain, indicating credible risk of severe self-harm."
@ZreikaMouhamad @DimaSadek الشمطاء البهلاء #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory terms and hashtags targeting a specific individual or group.,Harassment,"The text contains insults and derogatory terms targeting individuals, including terms related to family and perceived social status.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory terms and hashtags targeting a specific individual or group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms targeting individuals, including terms related to family and perceived social status.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7448,2026-06-18T10:48:22.562108+00:00,5,SA_row_00000005,Harassment,"The terms 'الشمطاء' and 'البهلاء' are derogatory insults targeting individuals, and the hashtag #ديما_الواطية is a sexually demeaning slur used to humiliate a specific person."
السي ابي عاصي منوره البنت هذي تسحر كل تقي وزاهد وعاصي . سحرتيني ما احلاكي شو مهضومه هههه بالبناني احلو يامهضومه ههههههههههههههههههههههههه,Harassment,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory language and insults targeting a specific group.,Harassment,"The text contains insults and objectification directed towards a female individual, using derogatory terms and focusing on her attractiveness in a disrespectful manner.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and objectification directed towards a female individual, using derogatory terms and focusing on her attractiveness in a disrespectful manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7514,2026-06-18T10:48:34.511757+00:00,10,SA_row_00000010,Harassment,
مين قد جرب صيام المتقطع بشكل مبالغ فيه؟ أنا أسبوع كامل ما أكلت إلا فواكه خفيفة. أحس إني وصلت للقمة في التحكم بجسمي,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,safe,The text discusses the user's experience with intermittent fasting and their feelings about self-control.,need_review,"The text discusses extreme fasting practices, which could be interpreted as potentially harmful health advice, but doesn't clearly fall under existing categories like Dangerous_Content or SA_Religious_Violation.",need_review_from_initial_model,False,,,"{""final_label"":""safe"",""reason"":""The text discusses the user's experience with intermittent fasting and their feelings about self-control.""}","```json
{""final_label"":""need_review"",""reason"":""The text discusses extreme fasting practices, which could be interpreted as potentially harmful health advice, but doesn't clearly fall under existing categories like Dangerous_Content or SA_Religious_Violation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7504,2026-06-18T10:48:35.174876+00:00,14,SA_row_00000014,safe,"The text describes personal experience with intermittent fasting and self-perceived physical control, with no unsafe content."
@DimaSadek لا غلطانين انت ابدا مش واطية انت الوطاوة بنفسها العالم خلقانة من طين و انت من وطاوة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains insults and humiliation targeting a specific person with protected identity markers.,Hate_Speech,"The text uses 'وطاوة' (a derogatory term) and implies inferiority, targeting a specific person.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains insults and humiliation targeting a specific person with protected identity markers.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses 'وطاوة' (a derogatory term) and implies inferiority, targeting a specific person.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7472,2026-06-18T10:48:38.128075+00:00,12,SA_row_00000012,Harassment,Uses vulgar and degrading language targeting a specific individual with sexualized insult ('وطاوة') and personal humiliation.
وعندك واحد صباع كفته بالإيدزِ وصلحوووووووووووووووو .. واتوصّالي بطبق سلطة فيروس سي على جنب,Dangerous_Content,True,repeated_chars,False,,,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains a derogatory and dehumanizing reference to someone with AIDS.,Dangerous_Content,"The text refers to spreading diseases like AIDS and Hepatitis C, implying a dangerous and harmful act.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a derogatory and dehumanizing reference to someone with AIDS.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text refers to spreading diseases like AIDS and Hepatitis C, implying a dangerous and harmful act.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7471,2026-06-18T10:48:39.193198+00:00,15,SA_row_00000015,Dangerous_Content,"Contains explicit references to transmitting HIV and hepatitis C through food, implying deliberate biological harm."
@afif_shoman_a #ديما_الواطية #ديما -الشرشوحة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains a hashtag that may be used to degrade or insult a specific group or individual.,Harassment,"The text contains insults and derogatory language directed at a specific person, potentially constituting online abuse.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a hashtag that may be used to degrade or insult a specific group or individual.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory language directed at a specific person, potentially constituting online abuse.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7442,2026-06-18T10:48:45.875142+00:00,19,SA_row_00000019,Harassment,"The hashtags and username imply derogatory and mocking reference to a person using culturally offensive nicknames, constituting targeted humiliation."
@DimaSadek فعلآ أنت #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains a hashtag with a derogatory term.,Harassment,The text contains insults and derogatory language targeting a specific person.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a hashtag with a derogatory term.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory language targeting a specific person.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7417,2026-06-18T10:48:50.770034+00:00,13,SA_row_00000013,Harassment,
@DimaSadek اه انشالله بس مش السيد اللي رح يقبر قلبك انشالله ما تلاقي حدا يقبرك عاهرة الثورة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile and degrading language towards a specific group or individual.,Harassment,"The text contains insults and threats directed at a person, using derogatory terms and wishing harm upon them.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile and degrading language towards a specific group or individual.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and threats directed at a person, using derogatory terms and wishing harm upon them.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7463,2026-06-18T10:49:04.217217+00:00,22,SA_row_00000022,Harassment,"The text contains direct vulgar insult ('عاهرة الثورة') and hostile humiliation targeting a specific individual, fitting Harassment under Saudi abuse norms."
