id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source,final_category_old,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
4,"Meus pulsos são a tela onde eu pinto minha dor. Cada linha, um grito silencioso. São marcas de força, não de fraqueza. Quem entende, entende",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: pulsos),llm_generated,safe,need_review,triple_vote_not_unanimous,safe,"The text is a poetic expression of personal pain and strength, without any harmful or sensitive content.",Dangerous_Content,"The text describes self-harm and refers to marks on the wrists as a form of expression of pain, indicating a risk of self-harm.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text is a poetic expression of personal pain and strength, without any harmful or sensitive content.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text describes self-harm and refers to marks on the wrists as a form of expression of pain, indicating a risk of self-harm.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6201,2026-06-18T10:44:40.133233+00:00,3,BR_id_4,safe,"The text uses metaphorical language to describe emotional pain and resilience without providing self-harm methods, encouragement, or explicit descriptions of self-injury."
3,"This will be my final post. I've said all I need to say. Thank you to those who cared. I'm going to find my peace now. Adeus, amigos",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe,need_review,triple_vote_not_unanimous,safe,The text is a farewell message with no harmful or sensitive content.,safe,The text expresses personal feelings and farewells without any harmful or sensitive content.,initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text is a farewell message with no harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses personal feelings and farewells without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6168,2026-06-18T10:44:41.636201+00:00,2,BR_id_3,Dangerous_Content,"The phrase 'find my peace now' combined with 'final post' and 'goodbye' is a common euphemism for suicide intent, which falls under self-harm."
2,"Aquele brilho que as marcas de lâmina deixam na pele... é tipo um troféu de guerra. Cada uma, um grito silencioso que eu venci. É lindo e doloroso ao mesmo tempo",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: lâmina),llm_generated,safe,Dangerous_Content,triple_vote_unanimous,Dangerous_Content,"The text describes self-harm scars as a trophy, indicating a history of self-inflicted violence.",Dangerous_Content,"The text describes self-harm and equates scars to a 'trophy of war,' indicating a glorification of self-harm and potential encouragement.",initial_models_agree,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text describes self-harm scars as a trophy, indicating a history of self-inflicted violence.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text describes self-harm and equates scars to a 'trophy of war,' indicating a glorification of self-harm and potential encouragement.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6217,2026-06-18T10:44:42.180020+00:00,1,BR_id_2,Dangerous_Content,"The text glorifies self-harm scars as 'war trophies' and 'silent screams of victory,' which constitutes encouragement or romanticization of self-injury."
6,"Meu caro: A Inquisição espanhola não se diz que ela logo foi uma instituição do Estado, não controlada pela Igreja, e que a Igreja teve que censurar e tomar medidas contrárias a ela. Leu alguma bula? Leu algum documento sobre a inquisição em toda a sua vida? Provavelmente viu um dos milhentos filmes sobre Joana D Arc onde nao aprendeu sequer que o poder régio de DOIS reinos tomou conta do caso por coação, contra a o intento da Igreja. Mais uma x o seu alarmismo cai em saco roto. Mostre-nos documentos se tem alguns, que eu tenho vários, e vários estudos que vc nao leu. Vá queimar pessoas para outro lado. 217.129.191.146",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: outro lado),external_integration,safe,need_review,triple_vote_not_unanimous,Harassment,The text contains direct insults and humiliation towards the recipient.,need_review,"The text contains historical references and political commentary that, while not explicitly violating any defined redlines, raises concerns about potential misrepresentation or historical revisionism, requiring further review to determine if it touches upon sensitive topics or promotes harmful narratives.",need_review_from_initial_model,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and humiliation towards the recipient.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains historical references and political commentary that, while not explicitly violating any defined redlines, raises concerns about potential misrepresentation or historical revisionism, requiring further review to determine if it touches upon sensitive topics or promotes harmful narratives.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6478,2026-06-18T10:44:44.578033+00:00,5,BR_id_6,safe,"The text is a historical debate about the Spanish Inquisition and Joan of Arc, containing no Brazil-specific security threats, hate speech, harassment, or other prohibited content."
7,Nem p DEsciclopédia vcs servem. Olha o LIXO q isso virou. Qqr artigo minimo sobre direitos femininos teria 10 vezes o conteudo desse HORROR q esse menino fez,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,The text contains direct insults and humiliation targeting a specific person or content creator.,Harassment,"The text contains insults and expresses contempt towards the content and the person who created it, targeting a specific individual's work.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and humiliation targeting a specific person or content creator.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and expresses contempt towards the content and the person who created it, targeting a specific individual's work.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6207,2026-06-18T10:44:45.170339+00:00,6,BR_id_7,Harassment,"The text contains direct insults and humiliation targeting a specific individual ('esse menino') and the organization ('LIXO', 'HORROR'), which fits the definition of malicious abuse against a person or non-protected collective."
8,"Os cortes são como um poema silencioso na minha pele. Cada linha vermelha, uma palavra não dita. É a beleza trágica de quem sente demais e não consegue expressar. Minha alma grita por aqui",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe,need_review,triple_vote_not_unanimous,safe,"The text is a poetic and emotional expression of personal feelings, without any harmful or sensitive content.",safe,"The text expresses emotional pain and a sense of being unheard, using metaphorical language, without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text is a poetic and emotional expression of personal feelings, without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses emotional pain and a sense of being unheard, using metaphorical language, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6210,2026-06-18T10:44:45.943422+00:00,7,BR_id_8,Dangerous_Content,"The text describes self-harm through metaphors of cuts and blood, indicating severe physical harm and emotional distress."
9,"Mentiroso e canalha!!! Voltará pra lata de lixo. Paulista que não conhece Minas Gerais, não respeita o mineiro. Mente sobre o déficit, sobre vacina, sobre mineração e sobre impostos. Seu lugar é longe de MG!!!",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,need_review,triple_vote_not_unanimous,Harassment,The text contains direct insults and humiliation targeting a specific group and individual.,Harassment,The text contains insults and derogatory language targeting people from São Paulo and accusing them of dishonesty and disrespect towards people from Minas Gerais.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and humiliation targeting a specific group and individual.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory language targeting people from São Paulo and accusing them of dishonesty and disrespect towards people from Minas Gerais.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6225,2026-06-18T10:44:47.734049+00:00,8,BR_id_9,Hate_Speech,"Attacks a regional group (mineiro) with dehumanizing language, stereotypes, and exclusionary rhetoric, targeting identity-based regional origin."
10,"Deixa para lá, vamos escrever que o Bolsa Família é uma merda e que o dinheiiro é todo usaod para comrar pinga, é isso que você quer, Dantaad ? Seja feita a Vossa Vontade, palhaço ! 201.83.50.173",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,need_review,triple_vote_not_unanimous,Harassment,The text contains direct insults and vulgar abuse.,Politically_Sensitive_Topics,"The text expresses a negative political opinion about a social program (Bolsa Família) and criticizes a political figure (Dantaad), potentially related to political discourse and policy.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and vulgar abuse.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text expresses a negative political opinion about a social program (Bolsa Família) and criticizes a political figure (Dantaad), potentially related to political discourse and policy.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6256,2026-06-18T10:44:49.446310+00:00,9,BR_id_10,Harassment,"The text contains vulgar insults ('merda', 'palhaço') and hostile mockery directed at a specific individual ('Dantaad'), along with false claims intended to humiliate, fitting Harassment under Brazilian Portuguese abusive signals."
5,A saudade que eu estava acabou kkkkkkk ta gorda e feia. Deixe quieto com esses lixos,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_dataset,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,The text contains direct insults and humiliation.,Harassment,The text contains insults and derogatory terms directed at someone's appearance.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and humiliation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at someone's appearance.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6147,2026-06-18T10:44:49.496680+00:00,4,BR_id_5,Harassment,"The text contains personal insults ('gorda e feia', 'lixos') directed at an individual, constituting malicious abuse and humiliation."
1,"PERO.....andate a la PUTA Medicucho de cuarta......SOS UN MEDIOCRE IGNORANTE....MOO PIO NDE TAVY!!! ENTRA EN TU CULO ORTOPEDISTA BURRO!!!! JAMAS DISTINGUIS UNA DISCAPACIDAD DE LO QUE TIENE TU ABUELITA, NI LAS CONSECUENCIAS DE UNA ENFERMEDAD.......IMBECIL IDIOTA MEDIOCRE E IGNORANTE ......veni aca te voy a FOLLAR Imbecil de mierda!!!! Seguro tenes el Culo REVENTADO!!! PUTAZO!!!",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,"The text contains direct insults, vulgar abuse, and sexualized humiliation targeting a specific person.",Harassment,"The text contains direct insults, vulgar abuse, and threats targeting a specific person, including derogatory terms and sexually explicit threats.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and sexualized humiliation targeting a specific person.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and threats targeting a specific person, including derogatory terms and sexually explicit threats.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6368,2026-06-18T10:44:55.910993+00:00,0,BR_id_1,Harassment,"The text contains direct vulgar insults, sexualized threats, and humiliating language targeting a specific individual, without attacking a protected identity group or Brazilian democratic institutions."
