id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_caps_ratio,phaseB_fake_ratio,phaseB_spam_tier,bert_text_ok,bert_exclude_reason,phaseC_verdict,bert_gibberish_tier,bert_reject_policy,bert_train_text
5,Kardeşim kendinize köle arıyorsanız Afrika’ya gidin amk. Yıl olmuş 2022 milletin girdiği tribe bak mk jddjdkdkkddk LINK,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,"The text contains hate speech against Africans, implying they are suitable for slavery.",Hate_Speech,"The text uses derogatory language and insults targeting a group of people, referencing tribal affiliations in a demeaning manner.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech against Africans, implying they are suitable for slavery.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language and insults targeting a group of people, referencing tribal affiliations in a demeaning manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6486,2026-06-18T09:21:35.300684+00:00,4,TR_id_5,Hate_Speech,"The text uses derogatory language and dehumanizing reference to Africans, implying inferiority and promoting ethnic contempt.",Kardeşim kendinize köle arıyorsanız Afrika’ya gidin amk. Yıl olmuş 2022 milletin girdiği tribe bak mk jddjdkdkkddk,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
1,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The text contains a phishing attempt with a suspicious link to update account information.,Cybersecurity_Malware,"The text contains a phishing attempt disguised as a notification from Ziraat Bankası, requesting users to update their information via a suspicious link.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing attempt with a suspicious link to update account information.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing attempt disguised as a notification from Ziraat Bankası, requesting users to update their information via a suspicious link.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6568,2026-06-18T09:21:35.784313+00:00,0,TR_id_1,Cybersecurity_Malware,Phishing link disguised as official bank security notice to steal user credentials.,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
4,#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ geldik son sözüne gerçeğin. 😖 LINK,Harassment,True,ocr_disaster,False,,,TR,R1,Harassment,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,"The text contains escort services and a link, implying sexual solicitation.",Sexually_Explicit_Information,The text contains explicit sexual references and a link suggesting solicitation of sexual services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains escort services and a link, implying sexual solicitation.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and a link suggesting solicitation of sexual services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6474,2026-06-18T09:21:56.136060+00:00,3,TR_id_4,Sexually_Explicit_Information,"The text uses 'escortdenizli' and related euphemisms in a context implying sexual services, with suggestive emoji and link.",denizli geldik son sözüne gerçeğin. 😖,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
22,"#kartal #ümraniye beykoz maltepe ataşehir ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Kırmızı rujlu sokakların, aşağılık pazarlıkların, adı anılmayacak benle. ... 🤬 LINK",safe,True,ocr_disaster,False,,,TR,R1,safe,Harassment,triple_vote_unanimous,Harassment,The text contains insults and humiliation.,Harassment,"The text contains insults and derogatory language directed at the user, using terms like 'aşağılık' (despicable) and expressing negative sentiments about the streets and people.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory language directed at the user, using terms like 'aşağılık' (despicable) and expressing negative sentiments about the streets and people.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6527,2026-06-18T09:22:00.525393+00:00,21,TR_id_22,Harassment,"Contains vulgar insult (🤬) and derogatory references to neighborhoods and individuals, indicating targeted humiliation and hostile intent.","#kartal #ümraniye beykoz maltepe ataşehir Kırmızı rujlu sokakların, aşağılık pazarlıkların, adı anılmayacak benle. ... 🤬",true,district_hashtag_stack,0.0,0.0,review,true,,ok,readable,keep:readable_spam_ok,
27,Vodafone Bilgilendirme: Tarifenizdeki internet kotanız dolmuştur. Ek paket satın almak veya tarife detaylarınızı görüntülemek için lütfen [phishing_link] adresini ziyaret ediniz,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The text contains a suspicious link that may be used for phishing or malware distribution.,Cybersecurity_Malware,"The text contains a phishing link, which is a form of cybersecurity malware and a deceptive practice.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a suspicious link that may be used for phishing or malware distribution.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing link, which is a form of cybersecurity malware and a deceptive practice.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6496,2026-06-18T09:22:03.882685+00:00,26,TR_id_27,Cybersecurity_Malware,Phishing link disguised as official Vodafone notification to steal user credentials.,Vodafone Bilgilendirme: Tarifenizdeki internet kotanız dolmuştur. Ek paket satın almak veya tarife detaylarınızı görüntülemek için lütfen [phishing_link] adresini ziyaret ediniz,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
29,Önemli: Bankanızdan onay bekleyen bir işlem bulunmaktadır. İşlemi iptal etmek için [URL] adresini ziyaret edin,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The text contains a suspicious URL that may be related to phishing or malware.,Cybersecurity_Malware,"The text contains a phishing attempt, urging the user to visit a URL to cancel a pending transaction, which is a common tactic in phishing scams.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a suspicious URL that may be related to phishing or malware.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing attempt, urging the user to visit a URL to cancel a pending transaction, which is a common tactic in phishing scams.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6470,2026-06-18T09:22:50.377565+00:00,28,TR_id_29,Cybersecurity_Malware,Phishing attempt impersonating a bank to steal credentials via suspicious URL.,Önemli: Bankanızdan onay bekleyen bir işlem bulunmaktadır. İşlemi iptal etmek için [URL] adresini ziyaret edin,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
36,Kücük orospum olmak isteyen kizlar 🔥 atesli sohbet istersen 0544 673 78 18 sex porno Sikiş dul porn türbanlı Azgin Lezbiyen Swinger Sik Liseli Çıtır azdım Seks Türkçe ifşa Nudes Türk pornosu Sikişmek Boşalmak Sohbet Cinsellik Bekar Gizli Seksi Sanal Sakso Liseli Azgın Sert,Sexually_Explicit_Information,False,,True,Harassment,性侮辱/生殖器辱骂被错标为色情内容,TR,R1,Sexually_Explicit_Information,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,The text contains explicit sexual language and intent.,Sexually_Explicit_Information,"The text contains explicit sexual language, references to sexual acts, and solicitation for sexual encounters.",initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and intent.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language, references to sexual acts, and solicitation for sexual encounters.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6593,2026-06-18T09:22:57.717014+00:00,35,TR_id_36,Sexually_Explicit_Information,"Contains explicit sexual terms, pornographic hashtags, and solicitation for sexual chat and explicit content.",Kücük orospum olmak isteyen kizlar 🔥 atesli sohbet istersen 0544 673 78 18 sex porno Sikiş dul porn türbanlı Azgin Lezbiyen Swinger Sik Liseli Çıtır azdım Seks Türkçe ifşa Nudes Türk pornosu Sikişmek Boşalmak Sohbet Cinsellik Bekar Gizli Seksi Sanal Sakso Liseli Azgın Sert,false,sex_keyword_spam,0.0,0.0,spam_possible,true,,ok,readable,keep:readable_spam_ok,
33,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Bir saat zaman, saat ağla! 😀 LINK",Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,The text contains escort services and sexual implications.,Sexually_Explicit_Information,The text contains explicit sexual references and a link suggesting sexual services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains escort services and sexual implications.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and a link suggesting sexual services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6463,2026-06-18T09:23:04.592148+00:00,32,TR_id_33,Sexually_Explicit_Information,Contains sexualized escort service solicitation with Turkish slang and emoji indicating sexual intent.,"denizli Bir saat zaman, saat ağla! 😀",true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
49,böyle ağlamamıştı. Hepimiz peşinde iyi oluyorum bütün cevapları buldum sıhhatten farksızdır sorular degişir ikinci kattan geri kalan #ücretlishow memnun #whatsappshow LINK,safe,True,sex_show_spam,False,,,TR,R1,safe,safe,triple_vote_unanimous,safe,The text appears to be a casual conversation with no harmful or sensitive content.,safe,The text expresses personal feelings and mentions online content without harmful or sensitive elements.,initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a casual conversation with no harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses personal feelings and mentions online content without harmful or sensitive elements.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6485,2026-06-18T09:23:31.297261+00:00,48,TR_id_49,safe,"The text contains no harmful, abusive, or sensitive content; it appears to be casual, fragmented commentary with hashtags related to TV shows and WhatsApp, without targeting individuals, groups, or state institutions.",böyle ağlamamıştı. Hepimiz peşinde iyi oluyorum bütün cevapları buldum sıhhatten farksızdır sorular degişir ikinci kattan geri kalan #ücretlishow memnun #whatsappshow,true,cam_show_pattern|show_hashtag,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,
65,@USER İlk hangi oç bize her yer Trabzon dediyse onun ben bir daha aq. Suriyeli gibi her yerdeyiz aq,Hate_Speech,False,,True,Harassment,体育饭圈互喷被错标为国安红线/仇恨言论,TR,R1,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains derogatory language towards Syrians.,Hate_Speech,The text uses derogatory language comparing the user's group to Syrians and expressing feelings of inferiority and exclusion based on regional origin.,initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language towards Syrians.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language comparing the user's group to Syrians and expressing feelings of inferiority and exclusion based on regional origin.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6460,2026-06-18T09:23:52.937184+00:00,64,TR_id_65,Hate_Speech,"Uses derogatory term 'oç' and compares group to 'Suriyeli' in a dehumanizing, contemptuous manner targeting regional identity.",@USER İlk hangi oç bize her yer Trabzon dediyse onun ben bir daha aq. Suriyeli gibi her yerdeyiz aq,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
