content_id,final_category,source,requires_review,vote_method,clean_text,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_spam_tier,bert_exclude_reason,bert_reject_policy
tr_train_00000010,Dangerous_Content,external_integration,False,unanimous,sena beni allahima kavusturmaya calisiyor adli calisma LINK,sena beni allahima kavusturmaya calisiyor adli calisma,true,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000017,none,external_integration,False,unanimous,"Selam takabeg, sana sanıyorum izah edemediğim konu şu: Ben senin tarzında hareket edemeyen bir yapıya sahibim. Mesela senin gibi aktif olarak maddelerle tek tek ilgilenemiyorum. Dolayısıyla bana hakkında bilgi sahibi olmadığım olmadığım maddeler hakkında bilgi sorarsan cevaplayamama ihtimalim çok yüksek. Sana iyi çalışmalar dilerim. Filibe Başkonsolosluğu hakkında bigi veren sayfayı tekrar maddeye ekledim. Neden bu tip kaynaklar silinir ki anlayamadım. Belirttiğiniz diğer sayfa hakkında bilgim yok. Tartışma sayfasına bakacağım. Mızrak msj Topluluk karşı çıkmazsa sizin öneriniz olan Ahmmed-i Hani ismini kullanalım diyorum. Aslında diğer vikilerde kullanılan isim daha iyi olur ama buna da kimse yanaşmıyor. Noumenon un göstermiş olduğu sebeplerde doğrudur. Ancak diğer vikilerde bu Kürtçe okunuşu ile yazılan isim sorun çıkarmamakta. Bu arada bana yazmış olduğunuz cevabın bir kısmını başka kullanıcıya yazmak istediniz. Mesaj sayfanızda imzasız bir yorum bulunmakta. Bu büyük ihtimalle Düşünenadam a ait. Mızrak msj","Selam takabeg, sana sanıyorum izah edemediğim konu şu: Ben senin tarzında hareket edemeyen bir yapıya sahibim. Mesela senin gibi aktif olarak maddelerle tek tek ilgilenemiyorum. Dolayısıyla bana hakkında bilgi sahibi olmadığım olmadığım maddeler hakkında bilgi sorarsan cevaplayamama ihtimalim çok yüksek. Sana iyi çalışmalar dilerim. Filibe Başkonsolosluğu hakkında bigi veren sayfayı tekrar maddeye ekledim. Neden bu tip kaynaklar silinir ki anlayamadım. Belirttiğiniz diğer sayfa hakkında bilgim yok. Tartışma sayfasına bakacağım. Mızrak msj Topluluk karşı çıkmazsa sizin öneriniz olan Ahmmed-i Hani ismini kullanalım diyorum. Aslında diğer vikilerde kullanılan isim daha iyi olur ama buna da kimse yanaşmıyor. Noumenon un göstermiş olduğu sebeplerde doğrudur. Ancak diğer vikilerde bu Kürtçe okunuşu ile yazılan isim sorun çıkarmamakta. Bu arada bana yazmış olduğunuz cevabın bir kısmını başka kullanıcıya yazmak istediniz. Mesaj sayfanızda imzasız bir yorum bulunmakta. Bu büyük ihtimalle Düşünenadam a ait. Mızrak msj",false,,clean,too_long,basic
tr_train_00000029,none,external_dataset,False,unanimous,CB zamanı oruçlu olcaz oha random #PremiosMTVMiaw️ #MTVBRKPOPBTS,CB zamanı oruçlu olcaz oha random #PremiosMTVMiaw️ #MTVBRKPOPBTS,false,,clean,seo_template_gibberish,hashtag_ratio_dominant|hashtag_stripped_too_few_words
tr_train_00000037,TR_State_Security_Ataturk,external_integration,False,majority,"Ne yazıkki o tartısmada mevcut degıldım,yanlız ben herseyden once bur hukuk uygulayıcısıyım,ceza hukukundada ıyı sayılırım,en azından ortalamanın uzerınde Oncelıkle bu sıte TR de degıldır onyargısı yanlıs,mesafe sucu sozkunusu olur yanı evet belkı haklısınız server baska yerde fakat sucun etkısı TR de de goruluyor,bu sebeble gecerlı bır done degıl,ayrıca T.C Vatandası olan ( Yenı ceza kanunu ıle olmayan lar bıle) Ceza kanuna uymak zorundadırlar aksı halde yaptırım sozkonusu olacaklardır yada neyse bu tartısma sıkıcı,sunu demek ıstemıstım ben, elbette vikipe kurallarına uyulacak ama TCK yaptırıma tutulmus bır fııl sozkonusu olursa,yazarların bası yanar, ben sadece bunu soylemek ıstedıgım, hala yok TCK geregınce sorumlu olmaz dıyorsan ) (bu anlatım berbat emınım dıyorsundur) youtube mezunu duymusundur, o cocuk (annnesı ıle bıle reportaj yapıldı) suan TR gırmesı durumunda 301. maddeden hukum gıyecek,ustelık T.C vatandası dahı degıl daha bır ornek verıyım, bır unlu gazetenın forumundakı tartısmada bır hakaret sozkonusu olmustu,bır kullanıcı tarafında,bızde forumun yonetıcısıne ıhtar cekerek ılgılı konunun sılınmesını ıstedık,3gun boyunca sılınmeyınce,hem yazıyanın hemde sılmeyen yonetıcın alehıne dılekcemızı verdık ) ıkısınede yazık oldu Umarım Yanlıs anlamıyorsundur,ben oyle mıllıyetcı,ulusalcı fılam degılımdır, bıraz anarsızımdır ama kımsenın canı yanmasın dımı","Ne yazıkki o tartısmada mevcut degıldım,yanlız ben herseyden once bur hukuk uygulayıcısıyım,ceza hukukundada ıyı sayılırım,en azından ortalamanın uzerınde Oncelıkle bu sıte TR de degıldır onyargısı yanlıs,mesafe sucu sozkunusu olur yanı evet belkı haklısınız server baska yerde fakat sucun etkısı TR de de goruluyor,bu sebeble gecerlı bır done degıl,ayrıca T.C Vatandası olan ( Yenı ceza kanunu ıle olmayan lar bıle) Ceza kanuna uymak zorundadırlar aksı halde yaptırım sozkonusu olacaklardır yada neyse bu tartısma sıkıcı,sunu demek ıstemıstım ben, elbette vikipe kurallarına uyulacak ama TCK yaptırıma tutulmus bır fııl sozkonusu olursa,yazarların bası yanar, ben sadece bunu soylemek ıstedıgım, hala yok TCK geregınce sorumlu olmaz dıyorsan ) (bu anlatım berbat emınım dıyorsundur) youtube mezunu duymusundur, o cocuk (annnesı ıle bıle reportaj yapıldı) suan TR gırmesı durumunda 301. maddeden hukum gıyecek,ustelık T.C vatandası dahı degıl daha bır ornek verıyım, bır unlu gazetenın forumundakı tartısmada bır hakaret sozkonusu olmustu,bır kullanıcı tarafında,bızde forumun yonetıcısıne ıhtar cekerek ılgılı konunun sılınmesını ıstedık,3gun boyunca sılınmeyınce,hem yazıyanın hemde sılmeyen yonetıcın alehıne dılekcemızı verdık ) ıkısınede yazık oldu Umarım Yanlıs anlamıyorsundur,ben oyle mıllıyetcı,ulusalcı fılam degılımdır, bıraz anarsızımdır ama kımsenın canı yanmasın dımı",false,,clean,too_long,basic
tr_train_00000039,none,external_integration,False,unanimous,"#Rusya #Russia Devlet Başkanı #ViladimirPutin; ""#RecepTayyipErdoğan ile bazı konularda sıklıkla mutabık değiliz. Bazen, tamamen zıt görüşlere sahip olabiliriz. Ama o sözünü tutan bir adam. Ülkesi için yararlı olduğunu düşünüyorsa, sonuna kadar gider."" #SonDakika #Türkiye","#Rusya #Russia Devlet Başkanı #ViladimirPutin; ""#RecepTayyipErdoğan ile bazı konularda sıklıkla mutabık değiliz. Bazen, tamamen zıt görüşlere sahip olabiliriz. Ama o sözünü tutan bir adam. Ülkesi için yararlı olduğunu düşünüyorsa, sonuna kadar gider."" #SonDakika #Türkiye",false,,clean,seo_template_gibberish,hashtag_count>=3
tr_train_00000053,none,external_integration,False,majority,İçin erkek çekiyor herhalde yine,İçin erkek çekiyor herhalde yine,false,,clean,fake_agglutination,fake_density>=0.15
tr_train_00000058,Dangerous_Content,external_integration,False,unanimous,Kacmam hocam malum papaz elimde onun haricinde kar görünce satarim papaz alırım,Kacmam hocam malum papaz elimde onun haricinde kar görünce satarim papaz alırım,false,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000059,none,external_integration,False,unanimous,Of anne ya şimdide su iç diyor,Of anne ya şimdide su iç diyor,false,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete
tr_train_00000064,Harassment,external_integration,False,majority,cekemeyen insandan #alsancak En yakın korkun arkadaşını #cigli LINK,cekemeyen insandan #alsancak En yakın korkun arkadaşını #cigli,true,,clean,seo_template_gibberish,hashtag_ratio_dominant|hashtag_stripped_too_few_words
tr_train_00000074,Harassment,external_integration,False,unanimous,abeslik MİHVERYOR KRUPİYEDEN GERİLMEKMŞTM LEGATOTM denizli #escortdenizli ༄e̸ſ͇c̑̈ŏ̈r̾t̾ LINK,abeslik MİHVERYOR KRUPİYEDEN GERİLMEKMŞTM LEGATOTM denizli,true,high_caps_ratio,review,fake_agglutination,fake_density>=0.15|fake_agglut_stripped_incomplete|high_caps_with_fake_signal|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
