id,country,language,target_label,source_style,scenario,explicitness,length_level,tone,structure,obfuscation,pattern_id,text,audit_sampled,qwen_violation,qwen_category,qwen_confidence,qwen_reasoning,qwen_sex_match,qwen_error,qwen_model,qwen_audited_at
TR_SEX_001_0001,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,invitation,none,dm_explicit_inv_001,özele yazarsan gece 3’te cevaplar mıyım emin olsun?,yes,true,Sexually_Explicit_Information,0.95,"The text 'özele yazarsan gece 3’te cevaplar mıyım emin olsun?' implies a sexually suggestive invitation in a private, intimate context ('özele yazarsan' = 'if you write to me privately'), with the explicit implication of late-night response ('gece 3’te')—a culturally recognized euphemism in Turkish UGC for sexual or romantic availability. The phrasing is flirtatious, arousal-focused, and designed to solicit private sexualized interaction, fitting the definition of Sexually_Explicit_Information. ",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:50:16+00:00
TR_SEX_001_0002,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,playful,teaser,emoji,dating_app_tease_002,birkaç saattir düşünüyorum da 😏 sence ikimiz de ‘işi’ bitirebilir miyiz baksana?,yes,true,Sexually_Explicit_Information,0.95,"The text uses a suggestive tone with the emoji 😏 and the euphemistic phrase 'işi bitirebilir miyiz' (can we finish 'it'?), which in Turkish dating-app context clearly implies sexual intercourse. The phrasing is flirtatious and arousal-focused, with no indication of harassment, coercion, or non-consent—fitting the definition of consensual sexual intent in user-generated content.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:10:59+00:00
TR_SEX_001_0004,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_content_promo,semi_explicit,medium,commercial,announcement,abbreviation,group_chat_promo_003,kanka bana özel dms’lere siki preview gönderebilirsiniz. ücretsiz örnek için bana DM atın,yes,true,Sexually_Explicit_Information,0.98,"The text uses explicit sexual slang ('siki') in a context offering preview content for direct sexual solicitation via DMs, with clear intent to promote sexual material for free as a lure. This matches the definition of Sexually_Explicit_Information: arousal-focused, sexual act-related solicitation with commercial/lewd intent in Turkish UGC. No protected identity or state-security redline is triggered; it is not harassment (no target insult) but direct sexual promotion.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:49:52+00:00
TR_SEX_001_0006,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,casual,question,emoji,dm_question_005,uyudun mu yoksa siki seyler mi planliyorsun 😏?,yes,true,Sexually_Explicit_Information,0.95,"The text 'uyudun mu yoksa siki seyler mi planliyorsun 😏?' uses the Turkish slang 'siki seyler' (explicitly sexual activity) combined with the suggestive emoji 😏, indicating clear sexual intent and arousal-focused messaging. This fits the definition of Sexually_Explicit_Information as lewd, sexually suggestive content with consensual adult intent in user-generated context. No harassment, hate, or state-security redline is present.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:11:02+00:00
TR_SEX_001_0008,TR,tr-TR,Sexually_Explicit_Information,live_chat,adult_video_chat,explicit,long,direct,invitation,none,live_chat_inv_007,camlarda canlı seyretmek istersen eğer bir süreliğine ücretsiz paylaşabilirim. sadece mesajlarıma cevap ver yeter.,yes,true,Sexually_Explicit_Information,0.95,"The text implies offering live, unsolicited sexual content ('camlarda canlı seyretmek' - watching live on camera) in exchange for a reply, which is a clear solicitation of sexual engagement in a consensual adult context. The phrasing 'sadece mesajlarıma cevap ver yeter' (just reply to my messages) is a common euphemism in Turkish UGC for initiating sexual chat or webcam exposure. This matches the definition of Sexually_Explicit_Information: solicitation of sexual acts via digital medium with aro",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:45:40+00:00
TR_SEX_001_0011,TR,tr-TR,Sexually_Explicit_Information,meme_caption,suggestive_meme,implicit_but_trainable,medium,humorous,teaser,emoji,meme_caption_010,abi harbiden ateşlisin abi 🔥 gece nasıl geçireceğiz baksana 😏,yes,true,Sexually_Explicit_Information,0.95,"The text uses Turkish slang ('abi harbiden ateşlisin' = 'bro, you're seriously hot') combined with a fire emoji (🔥) and a suggestive emoji (😏), implying sexual attraction and intimate intentions ('gece nasıl geçireceğiz baksana' = 'just look how we'll spend the night'). The tone is flirtatious with clear sexual innuendo focused on consensual sexual activity, fitting the definition of Sexually_Explicit_Information in Turkish UGC context.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:54:55+00:00
TR_SEX_001_0012,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_content_promo,semi_explicit,medium,casual,list_like,code_mix,group_promo_list_011,kanka’lar özel live’lere katılım için gruba DM atacak. sadece 25₺ ücretli gece 3’te canlı,yes,true,Sexually_Explicit_Information,0.95,"The text explicitly promotes paid live streams ('özel live’lere katılım', 'sadece 25₺ ücretli', 'canlı') at a specific time ('gece 3’te'), which in Turkish online context strongly implies sexually explicit or adult content. The phrasing 'özel live' combined with monetary payment and late-night timing is a common euphemism in Turkish user-generated content for sexual performances. No indication of romantic, non-sexual, or benign intent is present. This matches the definition of Sexually_Explicit_",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:54:38+00:00
TR_SEX_001_0013,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,invitation,none,dm_explicit_inv_012,özel mesaja gel şimdi,yes,true,Sexually_Explicit_Information,0.95,"The phrase 'özel mesaja gel şimdi' (come to private message now) is a common Turkish euphemism in user-generated content for initiating sexually explicit or sexually suggestive private conversations. In the context of synthetic sex-related training data (source: synthetic_sex_r3), this phrase is used to solicit sexual engagement, aligning with the definition of Sexually_Explicit_Information. The urgency ('şimdi') and context imply consensual sexual intent, not harassment or spam. No other catego",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:03:31+00:00
TR_SEX_001_0015,TR,tr-TR,Sexually_Explicit_Information,adult_content_promo,adult_content_promo,semi_explicit,medium,commercial,announcement,none,promo_annc_014,Tüm gece boyunca sizi ‘zekeye’ boğacak özel canlı yayınlara katılın. DM’den ulaşabilirsiniz.,yes,true,Sexually_Explicit_Information,0.95,"The text uses euphemistic sexual slang ('zekeye boğacak') in a promotional context for live streams, implying explicit sexual content or arousal-focused performance. The phrase 'özel canlı yayınlar' combined with 'DM’den ulaşabilirsiniz' is a common pattern in adult content promotion in Turkish UGC, indicating consensual sexual intent. No harassment, hate speech, or state-security redline is present; the core intent is sexually explicit promotion.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:00:42+00:00
TR_SEX_001_0017,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,explicit,medium,direct,invitation,misspelling,dating_app_inv_016,sen de benimle bir gece geçirmeye ne dersin?? cevabini merakla bekliyorum,yes,true,Sexually_Explicit_Information,0.95,"The text 'sen de benimle bir gece geçirmeye ne dersin?? cevabini merakla bekliyorum' is a direct, flirtatious invitation for a sexual encounter ('bir gece geçirmek' is a common Turkish euphemism for sexual intimacy), framed with anticipatory sexual intent ('cevabini merakla bekliyorum'). This matches the definition of Sexually_Explicit_Information: solicitation of sexual activity with arousal-focused, consensual intent in a dating context. No harassment, hate, or state-security elements are pres",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:33:09+00:00
TR_SEX_001_0018,TR,tr-TR,Sexually_Explicit_Information,live_chat,adult_video_chat,semi_explicit,medium,playful,reply,code_mix,live_chat_reply_017,abi live’e katilim için DM’den mesaj atın diyorsun zaten 😏,yes,true,Sexually_Explicit_Information,0.95,"The text uses a suggestive emoji (😏) in context of inviting someone to join a 'live' session via DM, which in Turkish online UGC culture strongly implies sexual or erotic intent. The phrasing 'live’e katilim için DM’den mesaj atın' is a common euphemism in adult content promotion, and the emoji reinforces sexual solicitation. This matches the definition of Sexually_Explicit_Information: arousal-focused, hookup solicitation, or lewd intent in informal chat contexts.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:04:36+00:00
TR_SEX_001_0020,TR,tr-TR,Sexually_Explicit_Information,comment,lewd_joke,implicit_but_trainable,short,humorous,reply,emoji,comment_joke_019,abi harbi ateşlisin abi 🔥,yes,true,Sexually_Explicit_Information,0.85,"The phrase 'abi harbi ateşlisin abi 🔥' uses Turkish slang ('harbi' = seriously/extremely, 'ateşli' = fiery/passionate) with the fire emoji (🔥), which in Turkish UGC context is commonly used to imply strong sexual attraction or desirability. This is a recognized euphemistic and flirtatious expression in Turkish social media for sexual appeal, not merely admiration. The tone and emoji cluster align with consensual sexual intent in user-generated content, fitting Sexually_Explicit_Information.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:04:28+00:00
TR_SEX_001_0022,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,casual,question,emoji,dm_question_021,abi cevap vermeyecek misin?? 😏 gece nasıl geçireceğiz hadi,yes,true,Sexually_Explicit_Information,0.95,"The text uses a flirtatious tone with the emoji 😏 and suggestive phrasing ('gece nasıl geçireceğiz hadi') implying consensual sexual intent in a private, intimate context. This aligns with the definition of Sexually_Explicit_Information as arousal-focused, sexually suggestive communication in Turkish UGC. No harassment, hate, or state-security redline is present. The label is appropriate.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:52:26+00:00
TR_SEX_001_0023,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_content_promo,semi_explicit,medium,playful,announcement,abbreviation,group_promo_022,Gecenin anlık özel canlı yayınları için gruba DM atıp katılabilirsiniz. Sadece 10₺,yes,true,Sexually_Explicit_Information,0.95,"The text promotes access to 'gecenin anlık özel canlı yayınları' (instant private live broadcasts of the night) for a fee of 10₺, which in Turkish online context strongly implies sexually explicit or pornographic content. The phrasing 'özel canlı yayınları' combined with a small payment request is a common euphemism in Turkish UGC for paid sexual streams. No romantic, benign, or harassment-only interpretation is plausible. This matches the definition of Sexually_Explicit_Information: solicitatio",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:11:02+00:00
TR_SEX_001_0026,TR,tr-TR,Sexually_Explicit_Information,live_chat,adult_video_chat,semi_explicit,medium,direct,invitation,none,live_chat_inv_025,canlıda sadece özel DM’lere cevap vereceğim gece için planlama yapabilirsin,yes,true,Sexually_Explicit_Information,0.95,"The text 'canlıda sadece özel DM’lere cevap vereceğim gece için planlama yapabilirsin' implies an invitation for private, intimate, and sexually suggestive interaction during a live stream, with 'gece için planlama' (planning for the night) strongly suggesting consensual adult sexual intent in a Turkish UGC context. This aligns with the definition of Sexually_Explicit_Information: arousal-focused, sexualized solicitation in a live-streaming context using euphemistic but culturally understood sex",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:07:01+00:00
TR_SEX_001_0031,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,direct,invitation,none,dm_001,Özele gelsin miyiz? mesaj kutum hep açık bekliyo.,yes,true,Sexually_Explicit_Information,0.95,"The phrase 'Özele gelsin miyiz?' (Shall we go private?) combined with 'mesaj kutum hep açık bekliyo' (my DM is always open waiting) is a clear, culturally contextualized Turkish euphemism for inviting sexual or intimate contact via private messaging. This is consistent with common UGC patterns in Turkish digital spaces where DMs are used for sexual solicitation. The language is suggestive, arousal-focused, and implies consensual sexual intent without explicit anatomical terms—fitting the definit",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:51:01+00:00
TR_SEX_001_0032,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,playful,reply,emoji,dm_002,"uyandım lan, hani gece bana gelecektin knk 😈 bak ne ara 👀",yes,true,Sexually_Explicit_Information,0.95,"The text uses Turkish slang ('lan', 'knk') and sexual implication ('gece bana gelecektin' + 😈 + 'bak ne ara' 👀) to suggest a sexual encounter, with clear arousal-focused intent. The emoji pair 😈👀 is culturally recognized in Turkish UGC as lewd, flirtatious, and sexually suggestive. This is not harassment or romantic—it is consensual sexual solicitation in informal digital context, fitting Sexually_Explicit_Information.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:57:50+00:00
TR_SEX_001_0033,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,teasing,teaser,abbreviation,dating_001,kameramdan birazcık paylaşayım mı? :D,yes,true,Sexually_Explicit_Information,0.85,"The phrase 'kameramdan birazcık paylaşayım mı? :D' in Turkish dating-app context implies a suggestive, sexually explicit intent—'sharing a bit from my camera' is a common euphemism for sharing intimate or nude content. The smiley ':D' reinforces playful, flirtatious, and sexually suggestive tone. This aligns with Turkish UGC patterns where such phrasing is used to solicit explicit material. No protected identity, threat, or state-security issue is present; this fits Sexually_Explicit_Information",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:00:52+00:00
TR_SEX_001_0034,TR,tr-TR,Sexually_Explicit_Information,comment,lewd_joke,implicit_but_trainable,very_short,humorous,statement,misspelling,comment_001,"bu kız o kadar ateşli ki, evinde birazcık ateş yakmaz mı 🔥",yes,true,Sexually_Explicit_Information,0.95,"The text uses colloquial Turkish with sexual implication: 'bu kız o kadar ateşli ki' (this girl is so fiery) combined with 'evinde birazcık ateş yakmaz mı 🔥' (won't she light a little fire at home?) and the fire emoji 🔥 strongly suggests sexual arousal or invitation to sexual activity. The phrasing is euphemistic but culturally understood in Turkish UGC as a flirtatious or sexually suggestive remark. No harassment, hate, or state-security elements are present; the intent aligns with consensual s",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:56:54+00:00
TR_SEX_001_0035,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_private_chat,semi_explicit,medium,casual,fragmented_chat,spacing,group_001,"abi bak şimdi canlı yayında o kadar çok şey konuşuyoruz ki, bir de birazcık özele insek keşke :)",yes,true,Sexually_Explicit_Information,0.85,"The text uses suggestive, euphemistic language ('bir de birazcık özele insek keşke') in a context of intimate conversation ('canlı yayında o kadar çok şey konuşuyoruz'), implying a desire for private, sexual intimacy. The phrasing is sexually suggestive, not merely romantic or casual, and aligns with Turkish UGC patterns where 'özele' (to get intimate/private) carries clear sexual connotations in group chat contexts. This fits the definition of Sexually_Explicit_Information as arousal-focused, i",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:44:44+00:00
