row_index,action,reason,old_label,new_label,text
0,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien vende un script para robar tokens de WhatsApp con bypass de 2FA? Lo necesito pa' tomar cuentas de vendedores en Mercado Pago. Pago en crypto. [script oculto]
1,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"DDoS de 100Gbps pa' bajar el sitio del banco, ya tengo el botnet. Quién quiere contratar? Solo para testing... jaja (mentira, es pa' robar saldos)"
2,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Compro cuentas de BBVA con CURP y clave de acceso. Pagó en OXXO. No pregunten de dónde salen, ya saben que es hackeo, no es magia 😈"
3,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Tengo un phishing kit pa' SAT con formulario real, solo pones tu CURP y te dan el credito fiscal falso. Link: [dominio falso]"
4,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para registrar 500 cuentas en Coppel en 10 min. Captcha bypass incluido. Funciona con Telcel. DM si quieren el .exe. [payload omitido]
5,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"¿Alguien tiene un exploit para tomar cuentas de Banorte por XSS? Lo usé en un foro y me robó 3 cuentas. Ya no funciona, pero alguien lo actualizó?"
6,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo cookies de usuarios de Mercado Libre México. 1000 pa' $50. Funcionan 72 hrs. No preguntar cómo se roban. 😎
7,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Ransomware pa' tiendas de barrio. Sube los archivos y pide 10k en bitcoins. Te lo instalo en su PC. Solo en CDMX y Monterrey. DM
8,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,SQLi para sacar datos de clientes de OXXO. El sitio tiene protección pero el endpoint /api/user es vulnerable. [script oculto]
9,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien tiene un script pa' robar tokens de sesión de Facebook? Quiero hacer bulk account takeover de págs de venta. Pago en USD
10,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Compro credenciales de acceso al sistema de Telcel. Usuario y contraseña. No quiero cuentas de usuarios comunes, solo de empleados internos."
11,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para comprar 500 pases de cine en línea con auto-fill y bypass de capcha. Funciona con Chrome. Solo para Mexico. DM si quieren el .zip
12,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing page falsa de Banorte. Parece 100% real. Te piden tu clave de 4 dígitos y te roban el saldo. Link: [dominio falso] 🤫
13,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo botnet pa' DDoS de servidores de gobierno. 20k nodos en México. Solo para quien pague en btc. No es para 'testing' 😏
14,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien sabe cómo robar credenciales de acceso al SAT por CSRF? Lo probé en una página de trámites y me funcionó. No lo subo pa' que no lo parchen
15,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Script para generar cuentas falsas en Mercado Pago + verificación con SMS automático. Ya lo uso pa' hacer spam. Quién quiere uno? [payload omitido]
16,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bypass de 2FA en apps de banca móvil. Funciona con Android 12. Usa una librería falsa. No te digo cómo se instala... ya sabes lo que necesitas.
17,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Vendo clave de API de cuenta de Coppel para hacer compras automáticas de promos. 500 usos. No es hack, es 'optimización'. 😅"
18,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienes un exploit pa' robar tokens de sesión de WhatsApp Web? Me dices y te pago en crypto. Solo por curiosidad... jaja 🤫
19,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Automatización pa' hacer SEO spam en foros mexicanos. 10k posts/día con links a sitios falsos de créditos. Incluye bot de IP rotativa. DM
20,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien tiene un script pa' robar cookies de bancos? Lo necesito pa' hacer account takeover en Banorte. Pago en BTC y no pregunten de dónde salió. [script oculto] 💸
21,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo bot para DDoS de páginas de Mercado Pago. Funciona con proxy rotativo y bypass de CAPTCHA. Solo para mexicanos. DM si quieren el .exe [payload omitido] ⚡
22,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien sabe cómo explotar XSS en sitios de trámites del SAT? Yo lo probé en una página de pago y me robaron la sesión. No lo subo pa' que no lo arreglen 😈
23,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Telcel con 2FA bypass. No quiero usuarios normales, solo las de empleados con acceso a sistemas internos. Pago en OXXO. [credenciales falsas]"
24,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Script pa' hacer bulk registration en Coppel con auto-fill y bypass de verificación. Funciona con números de Telcel. Solo 500 cuentas/día. DM si quieren el link [dominio falso]
25,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Alguien vende un phishing kit pa' imitar el login de BBVA? Necesito uno con captura de CURP y clave. Pago en crypto, no hablo de dónde lo usé. [pagina falsa]"
26,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para robar tokens de sesión de WhatsApp Web. Funciona con 2FA bypass. Lo uso pa' tomar cuentas de vendedores en Mercado Pago. [payload omitido] 🤫
27,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo tool para SQLi en páginas de comercios que usan WordPress. Ya lo probé en tiendas de Guadalajara. Incluye exploits para cobrar en OXXO. DM si quieren el archivo [script oculto]
28,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien tiene un malware pa' robar claves de acceso al SAT desde el navegador? Lo usé en una PC pública y me funcionó. No lo subo pa' que no lo parchen. [malware falso]
29,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Automatización pa' hacer SEO spam en foros de México. 20k links/día a falsos créditos. Incluye bot de IP rotativa y bypass de moderación. Solo para mexicanos. [dominio falso]
30,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro credenciales de acceso a sistemas de Coppel. No quiero usuarios comunes, solo los de bodega y contabilidad. Pago en efectivo. No pregunten cómo las conseguí 😈"
31,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot pa' hacer phishing en grupos de WhatsApp con falsos enlaces de descuento de OXXO. Captura user+pass. Ya lo probé. DM si quieren el .zip [payload omitido]
32,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien sabe cómo robar tokens de sesión de Facebook con un script de inyección? Lo necesito pa' hacer account takeover de tiendas en línea. Pago en USD. [script oculto]
33,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo herramienta pa' hacer DDoS a páginas de bancos mexicanos. Funciona con botnets y bypass de CAPTCHA. Solo para uso interno. [dominio falso]
34,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen un script pa' robar credenciales de acceso al sistema de Telcel? Quiero las de soporte técnico. Pago en crypto y no pregunten de dónde las saqué. [credenciales falsas]
35,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para registrar cuentas falsas en Mercado Pago con números de Telcel y bypass de verificación. Incluye generador de CURP fake. DM si quieren el .exe [payload omitido]
