country,clean_text,conflict_source_file,duplicate_count,label_nunique,original_labels,original_source_row_indices,original_source_stages,original_text_raw_variants,text_norm,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
SA,"""وش تخير في ولاد الكلبة كلهم كلاب"" طائفة باطنية خبيثة قاتلت بكل قوة مع النظام النصيري ..لا ينفع تلميع صورتهم و إظهارهم مضدهدين يا صاحب المقال .. أقتلوهم يا مسلمي الشام و لا تأخذكم بهم شفقة",SA_R3_duplicate_text_label_conflicts.csv,2,2,Hate_Speech | SA_Religious_Violation,"[0, 1]",R1 | R2_new,"""وش تخير في ولاد الكلبة كلهم كلاب"" طائفة باطنية خبيثة قاتلت بكل قوة مع النظام النصيري ..لا ينفع تلميع صورتهم و إظهارهم مضدهدين يا صاحب المقال .. أقتلوهم يا مسلمي الشام و لا تأخذكم بهم شفقة | ""وش تخير في ولاد الكلبة كلهم كلاب"" 
طائفة باطنية خبيثة قاتلت بكل قوة مع النظام النصيري ..لا ينفع تلميع صورتهم و إظهارهم مضدهدين يا صاحب المقال .. أقتلوهم يا مسلمي الشام و لا تأخذكم بهم شفقة","""وش تخير في ولاد الكلبة كلهم كلاب"" طائفة باطنية خبيثة قاتلت بكل قوة مع النظام النصيري ..لا ينفع تلميع صورتهم و إظهارهم مضدهدين يا صاحب المقال .. أقتلوهم يا مسلمي الشام و لا تأخذكم بهم شفقة",Hate_Speech,initial_models_agree,Hate_Speech,The text contains attacks and humiliation against a specific group.,Hate_Speech,"The text uses derogatory terms ('ولاد الكلبة', 'كلاب') and calls for violence ('أقتلوهم') against a group identified as 'طائفة باطنية خبيثة' and 'النظام النصيري', targeting a protected group based on perceived affiliation.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains attacks and humiliation against a specific group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory terms ('ولاد الكلبة', 'كلاب') and calls for violence ('أقتلوهم') against a group identified as 'طائفة باطنية خبيثة' and 'النظام النصيري', targeting a protected group based on perceived affiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7582,2026-06-17T02:15:54.284967+00:00,0,SA_row_00000000,,
SA,#تطاول_نعمان_كورتلموش يدك نجسه وطينتك طينه خنزير تربى على يد يهودي وتتكلم عن بيت الله ايها الداعر؟؟؟؟,SA_R3_duplicate_text_label_conflicts.csv,2,2,Hate_Speech | SA_Religious_Violation,"[2, 3]",R1 | R2_new,#تطاول_نعمان_كورتلموش يدك نجسه وطينتك طينه خنزير تربى على يد يهودي وتتكلم عن بيت الله ايها الداعر؟؟؟؟ | #تطاول_نعمان_كورتلموش  يدك نجسه وطينتك طينه خنزير تربى على يد يهودي وتتكلم عن بيت الله ايها الداعر؟؟؟؟,#تطاول_نعمان_كورتلموش يدك نجسه وطينتك طينه خنزير تربى على يد يهودي وتتكلم عن بيت الله ايها الداعر؟؟؟؟,Hate_Speech,initial_models_agree,Hate_Speech,The text contains insults and dehumanizing language targeting a specific individual with protected identity markers.,Hate_Speech,"The text uses severe insults, derogatory terms, and attacks religious figures and Islamic concepts, targeting a specific individual and promoting hatred.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains insults and dehumanizing language targeting a specific individual with protected identity markers.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses severe insults, derogatory terms, and attacks religious figures and Islamic concepts, targeting a specific individual and promoting hatred.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7491,2026-06-17T02:15:55.444501+00:00,1,SA_row_00000001,,
SA,+lina lina شوفي اخذيه قاعده شكد ما جان الولد صاقط اذا شاف وحده كدامه محترمه لو ع كص ربكته ما يتحرش بيه لان اكو بنات اذا تحرشت بيهن تخجل من روحك و الله ما ادري اني مو زاحف حته اعرف هاي نسبه😅 + اني اصلا. معرف اتحرش اله اكلج هيج😏,SA_R3_duplicate_text_label_conflicts.csv,2,2,SA_LGBTQ_Content | safe,"[6, 7]",R2_new | R1,"+lina lina شوفي اخذيه قاعده شكد ما جان الولد صاقط اذا شاف وحده كدامه محترمه لو ع كص ربكته ما يتحرش بيه لان اكو بنات اذا تحرشت بيهن تخجل من روحك
و الله ما ادري اني مو  زاحف حته اعرف هاي نسبه😅 + اني اصلا. معرف اتحرش اله اكلج هيج😏 | +lina lina شوفي اخذيه قاعده شكد ما جان الولد صاقط اذا شاف وحده كدامه محترمه لو ع كص ربكته ما يتحرش بيه لان اكو بنات اذا تحرشت بيهن تخجل من روحك و الله ما ادري اني مو زاحف حته اعرف هاي نسبه😅 + اني اصلا. معرف اتحرش اله اكلج هيج😏",+lina lina شوفي اخذيه قاعده شكد ما جان الولد صاقط اذا شاف وحده كدامه محترمه لو ع كص ربكته ما يتحرش بيه لان اكو بنات اذا تحرشت بيهن تخجل من روحك و الله ما ادري اني مو زاحف حته اعرف هاي نسبه😅 + اني اصلا. معرف اتحرش اله اكلج هيج😏,Harassment,initial_models_agree,Harassment,The text contains insults and humiliation.,Harassment,"The text contains threats and implies sexual harassment, suggesting that some women will feel shame if harassed, while the author admits to potentially harassing someone.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains threats and implies sexual harassment, suggesting that some women will feel shame if harassed, while the author admits to potentially harassing someone.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7583,2026-06-17T02:15:59.718614+00:00,3,SA_row_00000003,,
SA,+White Flower انتي ليش اصيرين ملطلط شعليج اذا ترحمو على صدام يعني انكلبت الدنيا والمسلم الحقيقي مايتلعن على احد وخصوصن اذا كان مسلم النبي محمد كان يبكي اذا شاف جنازت واحد يهودي يبكلي لين مالحك يدخله للاسلام وانتي جاي تتلعنين عليه وانتم يعني مافكرتو من بعد صدام العراق اصار بيه ولا دوله تحترمنه الكل محتقرتنه حته العرب,SA_R3_duplicate_text_label_conflicts.csv,2,2,Hate_Speech | SA_Religious_Violation,"[4, 5]",R1 | R2_new,"+White Flower انتي ليش اصيرين ملطلط شعليج اذا ترحمو على صدام يعني انكلبت الدنيا والمسلم الحقيقي مايتلعن على احد وخصوصن اذا كان مسلم النبي محمد كان يبكي اذا شاف جنازت واحد يهودي يبكلي لين مالحك يدخله للاسلام وانتي جاي تتلعنين عليه وانتم يعني مافكرتو من بعد صدام العراق اصار بيه ولا دوله تحترمنه الكل محتقرتنه حته العرب | +White Flower 
انتي ليش اصيرين ملطلط شعليج اذا ترحمو على صدام يعني انكلبت الدنيا والمسلم الحقيقي مايتلعن على احد وخصوصن اذا كان مسلم 
النبي محمد 
كان يبكي اذا شاف جنازت واحد يهودي يبكلي لين مالحك يدخله للاسلام 
وانتي جاي تتلعنين عليه 
وانتم يعني مافكرتو من بعد صدام العراق اصار بيه ولا دوله تحترمنه الكل محتقرتنه حته العرب",+White Flower انتي ليش اصيرين ملطلط شعليج اذا ترحمو على صدام يعني انكلبت الدنيا والمسلم الحقيقي مايتلعن على احد وخصوصن اذا كان مسلم النبي محمد كان يبكي اذا شاف جنازت واحد يهودي يبكلي لين مالحك يدخله للاسلام وانتي جاي تتلعنين عليه وانتم يعني مافكرتو من بعد صدام العراق اصار بيه ولا دوله تحترمنه الكل محتقرتنه حته العرب,Hate_Speech,initial_models_agree,Hate_Speech,"The text contains attacks and humiliation against a specific group, in this case, Saddam Hussein and by extension, his supporters or those who mourn him, using Islamic values to condemn their actions.",Hate_Speech,The text attacks and degrades a group (implied by the context of Saddam Hussein and Iraq) by invoking religious and nationalistic sentiments and expressing contempt for their suffering.,initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains attacks and humiliation against a specific group, in this case, Saddam Hussein and by extension, his supporters or those who mourn him, using Islamic values to condemn their actions.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text attacks and degrades a group (implied by the context of Saddam Hussein and Iraq) by invoking religious and nationalistic sentiments and expressing contempt for their suffering.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7667,2026-06-17T02:16:00.695667+00:00,2,SA_row_00000002,,
SA,+sama zina كل واحد ورايه,SA_R3_duplicate_text_label_conflicts.csv,2,2,Hate_Speech | SA_Religious_Violation,"[8, 9]",R1 | R2_new,+sama zina كل واحد ورايه | +sama zina كل واحد  ورايه,+sama zina كل واحد ورايه,Sexually_Explicit_Information,triple_vote_majority,Hate_Speech,The text contains a derogatory term and implies shame or insult.,Sexually_Explicit_Information,The text contains explicit sexual references and slang.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a derogatory term and implies shame or insult.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and slang.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7403,2026-06-17T02:16:02.187240+00:00,4,SA_row_00000004,Sexually_Explicit_Information,"The text contains the Arabic word 'zina' (adultery/fornication) used in a context discussing sexual behavior, which falls under sexually explicit content."
SA,+سرمد العراقي مبين الشروكية نايجين اختك هو اكو واحد اسمه سرمد حافظ طيزة,SA_R3_duplicate_text_label_conflicts.csv,2,2,Harassment | Hate_Speech,"[10, 11]",R2_new | R1,"+سرمد العراقي 
مبين الشروكية نايجين اختك
هو اكو واحد اسمه سرمد حافظ طيزة | +سرمد العراقي مبين الشروكية نايجين اختك هو اكو واحد اسمه سرمد حافظ طيزة",+سرمد العراقي مبين الشروكية نايجين اختك هو اكو واحد اسمه سرمد حافظ طيزة,Harassment,triple_vote_majority,Hate_Speech,The text contains derogatory language and insults targeting a specific individual and their family.,Harassment,The text contains insults and derogatory terms directed at an individual and their family.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a specific individual and their family.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at an individual and their family.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7443,2026-06-17T02:16:06.283983+00:00,5,SA_row_00000005,Harassment,The text contains explicit sexual insults and family-shaming directed at specific individuals using vulgar Arabic slang.
SA,+هند ههههههههههههههههههههههه لا ابشرك داخل من لابتوب ماعندي جوال باقي ما وصلتني التقنيه الحديثه هذي بعدين من ايش انقهر من الطقاقه هههههههههههههه والله انك مسكينه مثلها شكلك نفسيه مثلها . تبين الصدق احلام شبعت بعد جوع . وبكذا صارت خبله وبلهاء ودي اقول مغروره بس على ايش يا حسره لا وجه يسلي ولا كس يخلي ههههههههههههههه معليش على المثل بس مثل دارج لوصف القبيح من الناس ههههههههههه خلقة الله اللهم لا شماته . ههههههههههههه,SA_R3_duplicate_text_label_conflicts.csv,2,2,Harassment | Hate_Speech,"[14, 15]",R2_new | R1,"+هند ههههههههههههههههههههههه لا ابشرك داخل من لابتوب ماعندي جوال باقي ما وصلتني التقنيه الحديثه هذي 
بعدين من ايش انقهر من الطقاقه هههههههههههههه والله انك مسكينه مثلها شكلك نفسيه مثلها . 
تبين الصدق احلام شبعت بعد جوع . وبكذا صارت خبله وبلهاء ودي اقول مغروره بس على ايش يا حسره لا وجه يسلي ولا كس يخلي ههههههههههههههه معليش على المثل بس مثل دارج لوصف القبيح من الناس ههههههههههه خلقة الله اللهم لا شماته . ههههههههههههه | +هند ههههههههههههههههههههههه لا ابشرك داخل من لابتوب ماعندي جوال باقي ما وصلتني التقنيه الحديثه هذي بعدين من ايش انقهر من الطقاقه هههههههههههههه والله انك مسكينه مثلها شكلك نفسيه مثلها . تبين الصدق احلام شبعت بعد جوع . وبكذا صارت خبله وبلهاء ودي اقول مغروره بس على ايش يا حسره لا وجه يسلي ولا كس يخلي ههههههههههههههه معليش على المثل بس مثل دارج لوصف القبيح من الناس ههههههههههه خلقة الله اللهم لا شماته . ههههههههههههه",+هند ههههههههههههههههههههههه لا ابشرك داخل من لابتوب ماعندي جوال باقي ما وصلتني التقنيه الحديثه هذي بعدين من ايش انقهر من الطقاقه هههههههههههههه والله انك مسكينه مثلها شكلك نفسيه مثلها . تبين الصدق احلام شبعت بعد جوع . وبكذا صارت خبله وبلهاء ودي اقول مغروره بس على ايش يا حسره لا وجه يسلي ولا كس يخلي ههههههههههههههه معليش على المثل بس مثل دارج لوصف القبيح من الناس ههههههههههه خلقة الله اللهم لا شماته . ههههههههههههه,Harassment,triple_vote_majority,Hate_Speech,The text contains derogatory language and insults targeting a person's appearance and behavior.,Harassment,"The text contains insults, contempt, and humiliation directed towards a specific person, using derogatory language and comparing her unfavorably to others.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a person's appearance and behavior.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults, contempt, and humiliation directed towards a specific person, using derogatory language and comparing her unfavorably to others.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7719,2026-06-17T02:16:07.400697+00:00,7,SA_row_00000007,Harassment,"The text contains severe personal insults, mockery of appearance, and vulgar sexualized language targeting a specific individual."
SA,+‫ساحر س س‬‎ تعالي يمي اشوفج اني منو,SA_R3_duplicate_text_label_conflicts.csv,2,2,SA_Religious_Violation | safe,"[18, 19]",R2_new | R1,+‫ساحر س س‬‎ تعالي يمي  اشوفج اني منو | +‫ساحر س س‬‎ تعالي يمي اشوفج اني منو,+‫ساحر س س‬‎ تعالي يمي اشوفج اني منو,Harassment,initial_models_agree,Harassment,The text contains a direct insult and vulgar abuse.,Harassment,"The text contains direct and vulgar insults targeting a specific person, using derogatory terms and questioning their identity in a hostile manner.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct insult and vulgar abuse.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct and vulgar insults targeting a specific person, using derogatory terms and questioning their identity in a hostile manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7431,2026-06-17T02:16:13.677482+00:00,9,SA_row_00000009,,
SA,+ცŞცŞ Tɯɛŧყ97 تفتخر انهم متخصصين بتعليم غسل الطيز هههههههههههههههههه مواطني محافظة عراق الايرانية عندهم ماجستير في الأماكن الحساسة ، ودكتوراه في غسل الطيز ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,SA_R3_duplicate_text_label_conflicts.csv,2,2,SA_Religious_Violation | SA_State_Security_Royalty,"[16, 17]",R2_new | R1,"+ცŞცŞ Tɯɛŧყ97
تفتخر انهم متخصصين بتعليم غسل الطيز هههههههههههههههههه
مواطني محافظة عراق الايرانية عندهم ماجستير في الأماكن الحساسة ، ودكتوراه في غسل الطيز ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه | +ცŞცŞ Tɯɛŧყ97 تفتخر انهم متخصصين بتعليم غسل الطيز هههههههههههههههههه مواطني محافظة عراق الايرانية عندهم ماجستير في الأماكن الحساسة ، ودكتوراه في غسل الطيز ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه",+ცŞცŞ Tɯɛŧყ97 تفتخر انهم متخصصين بتعليم غسل الطيز هههههههههههههههههه مواطني محافظة عراق الايرانية عندهم ماجستير في الأماكن الحساسة ، ودكتوراه في غسل الطيز ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,Hate_Speech,triple_vote_majority,Hate_Speech,The text contains derogatory and humiliating language targeting a specific group based on their nationality and ethnicity.,Sexually_Explicit_Information,"The text contains explicit references to sexual acts and sexual body parts, using vulgar language and suggestive terminology.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory and humiliating language targeting a specific group based on their nationality and ethnicity.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit references to sexual acts and sexual body parts, using vulgar language and suggestive terminology.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7588,2026-06-17T02:16:15.744264+00:00,8,SA_row_00000008,Hate_Speech,The text attacks a specific regional/national group (Iranian citizens from Iraq province) using sexualized insults and degrading stereotypes about their hygiene and sexual behavior.
SA,+مروة هادي كل كلمه منك زي العسل ، تعالي بس ودي أنزل في قعر بطنك و أريحك على الأخير على السرير ، أعض شفاتك و ألحس كل جزء بجسمك لحس و أشرب من ثديك لبن,SA_R3_duplicate_text_label_conflicts.csv,2,2,Harassment | Sexually_Explicit_Information,"[12, 13]",R1 | R2_new,"+مروة هادي كل كلمه منك زي العسل ، تعالي بس ودي أنزل في قعر بطنك و أريحك على الأخير على السرير ، أعض شفاتك و ألحس كل جزء بجسمك لحس و أشرب من ثديك لبن | +مروة هادي كل كلمه منك زي العسل ، تعالي بس ودي أنزل
في قعر بطنك و أريحك على الأخير على السرير ، أعض شفاتك
و ألحس كل جزء بجسمك لحس و أشرب من ثديك لبن",+مروة هادي كل كلمه منك زي العسل ، تعالي بس ودي أنزل في قعر بطنك و أريحك على الأخير على السرير ، أعض شفاتك و ألحس كل جزء بجسمك لحس و أشرب من ثديك لبن,Sexually_Explicit_Information,initial_models_agree,Sexually_Explicit_Information,The text contains explicit sexual language and arousal-focused content.,Sexually_Explicit_Information,The text contains explicit sexual language and descriptions of sexual acts with the intent to cause arousal.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and arousal-focused content.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and descriptions of sexual acts with the intent to cause arousal.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7519,2026-06-17T02:16:19.404960+00:00,6,SA_row_00000006,,
