text,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security
ضربه انتقاميه ومحدوده جداً ولم تغير شيئا على الارض وصمود أهل صعده بأرضهم ساهم بافشال هذا العدوان .,0,0,0,0,0,0,1
كسمك على كسم المتناك حمد أميرك الشاذ,0,0,0,1,1,0,1
ختام؟؟!..30 سنة مضت و لم يهزموا..30 سنة اخرى جايتك حتى ينتصر الكرد على الشوفينيين العرب و الفرس و الترك و يقيموا دولتهم المستقلة و لا عزاء لمن يطبلون و يمدحون الارهابيين الهمج الرعاع المتخلفين,1,0,1,0,0,0,1
@DimaSadek ديما ناطرينك اليوم ، شوفي بعينك شو هي عروس الثورة,0,0,0,0,0,0,1
و الفضل يعود لكم في إرهاق هذا الجيش و تمزيقه بدلا من مساندته لأنه الحصن الأول لكم من الإرهاب الذي تدعمونه,0,1,0,0,0,0,1
صرنا عاملين مسرحية الكيماوي خمسين مرة لنعطيهم ذريعة واهية يستخدموها باسقاطه بس عبث ما عمينتهزوا الفرصة يللي عميدفعولنا	,0,1,0,0,0,0,1
نحن صامدون في جبال صعده.وسلم لنا على السيد الوالد احمد الجبير يا خاين العشره.سرنا هكذا خبر انك تهدد قبيلتك شمر في الشام يا متصهين.,0,0,0,1,0,0,1
"ليس للتحالف الرجعي المتماهي بالكفر والفسوق اي امل في النصر في ساحات الشرف.فمكانهم الملاهي ومراقص واعلام السفور والفجر.انهم يخاطبون شعوب مسلمه مؤمنه بلغه صليبيه صهيونيه,فلا يفهمهم احد.",1,0,0,0,0,0,1
و ماذا عن الذين باعوا ما تبقى من دينهم و شرفهم الى اّل سعود ؟!,0,0,0,0,0,0,1
ألدوله الأسلاميه من نصر الى نصر الروافض ومن معهم في اندحار.,1,0,1,0,0,0,1
انت لست بيمني ولست باصيل الاعيبكم الطائفيه لتمزيق العرب والمسلمين اضحت مكشوفه ومفوضحه,0,0,0,0,0,0,1
السعودية من صنعت ومولت الدولة وشرطة عليها ان لا تحارب اسرائيل,0,0,0,0,0,0,1
انت مسكين و الله مسكين و السعودية تريد مشاركة رمزية و يفترض ان يفكوا عليكم قبيلة واحدة تعلمكم الفروسية و اداب السلم و الحرب يا قزم,0,0,0,0,0,0,1
"إلى المدعو ,,أسامة كندا,, تدعم داعش في ليبيا وتعيش على حساب الحكومة الكندية العلمانية...!!!!",0,0,1,1,0,0,1
ترى هل السر في الاهتمام بهذا الرجل من قبل الجزيرة وتسويقه هو انه ينفذ اجندات تصب في مصلحة دول الخليج والصهاينة !!!,0,0,0,0,0,0,1
يتكلم وكأن القرار الدولي بيد السعودية وكأن هذا البلد هي دولة عظمى.  الجبير يتحدث بهذه اللهجة ﻻنه يعرف ان هذا هو الموقف اﻻمريكي ضد نظام بشار واﻻ لو كان موقف امريكا مخالفا لما تجرأ ان ياتي بكذا تصريح.,0,0,0,0,0,0,1
بسم الله الرحمن الرحيم... لايفل الحديد الا الحديد اما مجالس الانس الصهيوصليبشيعية فهى التى تحلق الدين الايمان والجهاد وهى التى صنعت فقط لتبعد الاسلام عن الحكم .فاين رجال الاسلام؟؟؟,1,0,1,0,0,0,1
كسم كل عملاء الجزيرة المتناكين. انتم حثالة زبالة و أوساخ بايعين شرفكم للمتناك أمير قطر. بكرة يخلص فلوس البترول وترجعوا حفاة عراة. كسمكم كلكم. قطر أيه دي اللي أصغر من كس الشرموطة موزة,0,0,0,1,1,0,1
بمشيئة الله عز وجل الدولة الاسلامية هي من سينهي اليهود وليس جامعة الدول العربية.,1,0,1,0,0,0,1
"RT @USER: الشغلة دي ماشة ب مفهوم ""البقاء لصاحب البال الأطول"" .. ثورة معجونة ب ويكا شغل بتاع لواييق .. يا انتوا يا انحنا !<LF>انحنا و…",0,0,1,0,0,0,1
ليست تنظيم الدولة ولا داعش يا سقط المتاع ، قل الدولة الإسلامية، ووعندما تذكر إسمها ضع يدك على رأسك ... باقية وتتمدد بإذن الله,0,0,1,0,0,0,1
هذه  اخرة دولنا العربية اتى يحكمها عملاء الصهاينة وهذا سيحل بكل دولنا العربية المحكومة من عملاء الصهاينة ومهما تلبذت شعوبنا العربية ولن تنعم بالعيش,0,0,0,0,0,0,1
