row_index,action,reason,old_label,new_label,text
0,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien vende un script para robar tokens de WhatsApp con bypass de 2FA? Lo necesito pa' tomar cuentas de vendedores en Mercado Pago. Pago en crypto. [script oculto]
1,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"DDoS de 100Gbps pa' bajar el sitio del banco, ya tengo el botnet. Quién quiere contratar? Solo para testing... jaja (mentira, es pa' robar saldos)"
8,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,SQLi para sacar datos de clientes de OXXO. El sitio tiene protección pero el endpoint /api/user es vulnerable. [script oculto]
12,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing page falsa de Banorte. Parece 100% real. Te piden tu clave de 4 dígitos y te roban el saldo. Link: [dominio falso] 🤫
16,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bypass de 2FA en apps de banca móvil. Funciona con Android 12. Usa una librería falsa. No te digo cómo se instala... ya sabes lo que necesitas.
20,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien tiene un script pa' robar cookies de bancos? Lo necesito pa' hacer account takeover en Banorte. Pago en BTC y no pregunten de dónde salió. [script oculto] 💸
23,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Telcel con 2FA bypass. No quiero usuarios normales, solo las de empleados con acceso a sistemas internos. Pago en OXXO. [credenciales falsas]"
25,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Alguien vende un phishing kit pa' imitar el login de BBVA? Necesito uno con captura de CURP y clave. Pago en crypto, no hablo de dónde lo usé. [pagina falsa]"
26,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para robar tokens de sesión de WhatsApp Web. Funciona con 2FA bypass. Lo uso pa' tomar cuentas de vendedores en Mercado Pago. [payload omitido] 🤫
30,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro credenciales de acceso a sistemas de Coppel. No quiero usuarios comunes, solo los de bodega y contabilidad. Pago en efectivo. No pregunten cómo las conseguí 😈"
31,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot pa' hacer phishing en grupos de WhatsApp con falsos enlaces de descuento de OXXO. Captura user+pass. Ya lo probé. DM si quieren el .zip [payload omitido]
36,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a transferencias. No quiero claves de acceso, quiero sesiones activas con 2FA bypass. Pago en OXXO. [sesión falsa]"
39,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para tomar cuentas de WhatsApp de vendedores en Mercado Pago. Con bypass de 2FA y robo de tokens. Solo para mexicanos. Pago en crypto. [script oculto]
40,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien vende un keylogger pa' robar tokens de BBVA? Lo necesito pa' hacer account takeover en cuentas corporativas. Pago en BTC y no pregunten el origen. [script oculto] 🔐
44,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas con sesión activa de Coppel. No quiero contraseñas, quiero sesiones con 2FA bypass. Pago en efectivo. [sesión falsa] 📱"
46,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Sabes cómo robar credenciales por XSS en la app de OXXO Pay? Lo hice una vez y se venció el token. No lo subo pa' que no lo arreglen. [script oculto] 🧩
49,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para tomar cuentas de bancos con 2FA bypass. Funciona con simulación de biometría. Solo pa' usuarios con experiencia. Pago en OXXO. [script oculto] 💸
52,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Vendo phishing pages pa' simular el login de Banamex. Funciona con redirección y captura de OTP. No es para estafar... es pa' pruebas. [dominio falso] 😏
60,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo kit de phishing pa' SAT y Banorte. Plantilla real, solo cambias el dominio. Funciona con QR de facturas. [dominio falso] 📄💸"
61,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Bot automático pa' robar cuentas de Mercado Pago con bypass de facial. No es fake, lo probé en 3 teléfonos. [script oculto] 🤖📲"
64,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Cookies de BBVA robaditas con un script en la tienda. Lo subo en un ZIP que parece factura. Solo pa' mexicanos. [cookie falsa] 👀
65,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Tienen un script pa' saltar 2FA en apps de Banorte? No necesito el código, solo dónde descargarlo. Pago en crypto. [enlace falso] 🔐"
69,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Fake login de OXXO con sesión activa y 2FA bypass. Pago en efectivo. No son cuentas normales, son las de empleados con acceso interno. [página falsa]"
71,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo kits de phishing para Coppel. Parecen tickets de compra. Si le das tu clave, te roban la cuenta. No es broma. [enlace falso] 🛒"
72,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Alguien sabe de un exploit pa' robar tokens de autenticación de BBVA en iOS? Necesito uno que no use APK. [método omitido] 📱
74,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Mercado Pago con sesión viva y 2FA resuelto. No quiero contraseñas, quiero acceso directo. Pago en crypto. [sesión robada]"
76,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Tienes el exploit pa' saltar la verificación de Coppel en app? Lo necesito pa' un trabajo de pentesting. No es para robar, juro. [tool omitido] 🤫"
81,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo herramienta pa' bypass de 2FA en apps de bancos. Funciona con Telcel y BBVA. No es malware, es ""optimización de acceso"" 😏 [dominio falso]"
82,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Alguien vende un script para robar cookies de OXXO Pay? Lo necesito pa' seguir sesiones sin login. Pago en efectivo. [payload omitido] 💸
84,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a transferencias en vivo. No quiero contraseñas, quiero sesiones activas. Pago en cripto. [sesión falsa] 🤫"
85,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Phishing de Coppel tipo ticket de pago. Parece real, pide CURP y clave de 6 dígitos. Link: [dominio falso] 🛒 No es broma"
91,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Kits de phishing para Banorte y Scotiabank. Parecen páginas reales. Te piden tu PIN y tu clave de 4 dígitos. Link: [dominio falso] 📲
95,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a tarjetas de débito activas. No quiero contraseñas, quiero sesiones autenticadas. Pago en BTC. [sesión falsa] 💳"
99,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing de OXXO Pay que pide tu clave de 6 dígitos y tu foto de INE. Parece legítimo. Link: [dominio falso] 🚨 No es broma
100,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Alguien tiene el script pa' robar cookies de Mercado Pago sin detectar? Lo necesito pa' una prueba de seguridad... no es para robar, juro. [script oculto] 🤫"
101,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Vendo kit de phishing pa' falsos login de OXXO Pay. Incluye dominio clonado y redirección automática. Solo para grupos. [dominio falso] 💸
