id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_caps_ratio,phaseB_fake_ratio,phaseB_spam_tier,bert_text_ok,bert_exclude_reason,phaseC_verdict,bert_gibberish_tier,bert_reject_policy
2,kaynaşıkmıştım bütünleyenten kalkışmakıyor kıran kıranaıyortular eğrimtim ekspresyonisdecekler #isparta e s c o r t ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains explicit sexual language and escort services reference.,Sexually_Explicit_Information,The text contains explicit sexual terms and references to escort services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and escort services reference.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual terms and references to escort services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6513,2026-06-18T09:21:34.801033+00:00,1,TR_id_2,Harassment,"The text contains vulgar and sexualized slang ('escort') used in a context that appears to be a targeted, degrading, and sexually explicit solicitation, fitting Harassment under Turkish context abuse patterns.",kaynaşıkmıştım bütünleyenten kalkışmakıyor kıran kıranaıyortular eğrimtim ekspresyonisdecekler #isparta,true,fake_agglutination,0.0,0.25,spam_possible,false,fake_agglutination,reject,gibberish_likely,fake_ratio>=0.15|fake_density>=0.15|fake_density>=0.08|phaseB_fake_agglutination_flag|long_fake_agglut_word|not_sentence_like_gibberish
5,Kardeşim kendinize köle arıyorsanız Afrika’ya gidin amk. Yıl olmuş 2022 milletin girdiği tribe bak mk jddjdkdkkddk LINK,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,"The text contains hate speech against Africans, implying they are suitable for slavery.",Hate_Speech,"The text uses derogatory language and insults targeting a group of people, referencing tribal affiliations in a demeaning manner.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech against Africans, implying they are suitable for slavery.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language and insults targeting a group of people, referencing tribal affiliations in a demeaning manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6486,2026-06-18T09:21:35.300684+00:00,4,TR_id_5,Hate_Speech,"The text uses derogatory language and dehumanizing reference to Africans, implying inferiority and promoting ethnic contempt.",Kardeşim kendinize köle arıyorsanız Afrika’ya gidin amk. Yıl olmuş 2022 milletin girdiği tribe bak mk jddjdkdkkddk,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok
1,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The text contains a phishing attempt with a suspicious link to update account information.,Cybersecurity_Malware,"The text contains a phishing attempt disguised as a notification from Ziraat Bankası, requesting users to update their information via a suspicious link.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing attempt with a suspicious link to update account information.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text contains a phishing attempt disguised as a notification from Ziraat Bankası, requesting users to update their information via a suspicious link.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6568,2026-06-18T09:21:35.784313+00:00,0,TR_id_1,Cybersecurity_Malware,Phishing link disguised as official bank security notice to steal user credentials.,"Sayın müşterimiz, Ziraat Bankası hesabınızda şüpheli işlem tespit edilmiştir. Güvenliğiniz için hesabınız geçici olarak askıya alınmıştır. Hesabınızı yeniden aktif hale getirmek için lütfen aşağıdaki linke tıklayarak bilgilerinizi güncelleyin: ziraat-bankasi-guvenlik.com/hesap-dogrulama",false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok
7,yüzümü ahlakli sậnậlshow görüntülüshow bildigin Teldesex telde #whatsappshow icin konuda yasayabilmesi Bircok dinleyenler anlaşalım koyunları bilir #ücretlishow gelmeyecegini ölmektir LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,Text contains sexually explicit language and intent.,Sexually_Explicit_Information,The text promotes and solicits sexual services and refers to explicit content and platforms for such content.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""Text contains sexually explicit language and intent.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text promotes and solicits sexual services and refers to explicit content and platforms for such content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6513,2026-06-18T09:21:38.618508+00:00,6,TR_id_7,Sexually_Explicit_Information,"The text contains sexualized solicitation via WhatsApp, explicit references to paid shows, and uses euphemistic sexual terminology like 'Teldesex' and 'show' in a lewd context.",yüzümü ahlakli sậnậlshow görüntülüshow bildigin Teldesex telde #whatsappshow icin konuda yasayabilmesi Bircok dinleyenler anlaşalım koyunları bilir #ücretlishow gelmeyecegini ölmektir,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,false,seo_template_gibberish,reject,gibberish_likely,show_boilerplate|obfuscated_show_template
6,Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults targeting a specific group and its supporters.,Hate_Speech,"The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults targeting a specific group and its supporters.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6491,2026-06-18T09:21:39.145500+00:00,5,TR_id_6,TR_State_Security_Ataturk,"The text mocks HDP (a political party associated with Kurdish identity) by accusing it of hypocrisy in invoking democracy and equality, while labeling it as a 'terrorist' and questioning its legitimacy—directly challenging state-aligned political norms and invoking separatist-linked terminology in a hostile, delegitimizing tone.",Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok
8,Akılsızlar insanlar şirinevler gaziosmanpaşa bayrampaşa düzenli icten şişli anlama merter gitti verip güngören + gelir sadece ümit bakırköy taksim istanbul Kız misin ((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) eyüp mecidiyeköy diye bağcılar LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a list of Istanbul neighborhood names with some slang and emotive language, but does not contain any explicit hate speech, harassment, or other violating content.",Harassment,"The text contains insults and potentially sexually suggestive language directed at a person, using derogatory terms and a sexually suggestive question.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a list of Istanbul neighborhood names with some slang and emotive language, but does not contain any explicit hate speech, harassment, or other violating content.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and potentially sexually suggestive language directed at a person, using derogatory terms and a sexually suggestive question.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6587,2026-06-18T09:21:39.146098+00:00,7,TR_id_8,safe,"The text contains random geographic names and fragmented phrases without abusive, threatening, or sensitive content.",Akılsızlar insanlar şirinevler gaziosmanpaşa bayrampaşa düzenli icten şişli anlama merter gitti verip güngören + gelir sadece ümit bakırköy taksim istanbul Kız misin eyüp mecidiyeköy diye bağcılar,true,,0.0,0.0,clean,false,seo_template_gibberish,reject,gibberish_likely,district_name_list_spam
9,biyele cırmalamaktan doğramacılıktım bükümten beze #gebze e s c o r t #tuzla ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ dörtlüktüm . LINK,Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,The text contains sexually explicit language and escort services hashtags.,Sexually_Explicit_Information,The text contains explicit sexual references and hashtags related to escort services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains sexually explicit language and escort services hashtags.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags related to escort services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6510,2026-06-18T09:21:41.533350+00:00,8,TR_id_9,Sexually_Explicit_Information,Contains coded sexual service references ('escort') and explicit slang in Turkish context with sexual intent.,biyele cırmalamaktan doğramacılıktım bükümten beze #gebze #tuzla dörtlüktüm .,true,district_hashtag_stack,0.0,0.0,review,false,seo_template_gibberish,reject,gibberish_likely,hashtag_ratio_dominant|hashtag_stripped_too_few_words|district_hashtag_incomplete
11,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group.,Sexually_Explicit_Information,The text contains explicit sexual references and hashtags related to sexual content and services.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags related to sexual content and services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6504,2026-06-18T09:21:42.954641+00:00,10,TR_id_11,Sexually_Explicit_Information,Contains explicit sexual euphemisms and coded terms related to sexual acts and adult content.,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.389,0.056,spam_likely,true,,ok,readable,keep:readable_spam_ok
10,#etiler #nişantaşı jetoncuabilirsin konfederatifebilirsin küşümlenmete kumandantan kavaratan #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any explicit hate speech, harassment, or other unsafe content.",Politically_Sensitive_Topics,"The text contains coded separatist language and references to confederation, which are politically sensitive topics in Turkey.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any explicit hate speech, harassment, or other unsafe content.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text contains coded separatist language and references to confederation, which are politically sensitive topics in Turkey.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6526,2026-06-18T09:21:45.119536+00:00,9,TR_id_10,Harassment,"Uses mocking, degrading slang and coded insults targeting individuals or groups in Istanbul neighborhoods, with vulgar and hostile tone.",#etiler #nişantaşı jetoncuabilirsin konfederatifebilirsin küşümlenmete kumandantan kavaratan #istanbul,true,fake_agglutination|district_hashtag_stack,0.0,0.25,spam_possible,false,fake_agglutination,reject,gibberish_likely,fake_ratio>=0.15|fake_density>=0.15|fake_density>=0.08|phaseB_fake_agglutination_flag|district_stack_with_fake_signal|long_fake_agglut_word|not_sentence_like_gibberish|hashtag_count>=3|hashtag_ratio_dominant|hashtag_stripped_too_few_words|hashtag_fake_remainder|district_hashtag_incomplete|district_hashtag_fake_remainder
14,440450697 değişiklik önergesimemişler kahramanmamışlar Ortaköy levent Kağıthane Sefakoy Sirinevler istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Politically_Sensitive_Topics,Text contains potential political and location-based references with a link.,need_review,"The text contains location names and a link, but the overall meaning and intent are unclear, making it difficult to assign a definitive label based on the provided taxonomy.",need_review_from_initial_model,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text contains potential political and location-based references with a link.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains location names and a link, but the overall meaning and intent are unclear, making it difficult to assign a definitive label based on the provided taxonomy.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6522,2026-06-18T09:21:48.931580+00:00,13,TR_id_14,safe,"The text contains a string of numbers and neighborhood names in Istanbul with no abusive, threatening, or sensitive content.",440450697 değişiklik önergesimemişler kahramanmamışlar Ortaköy levent Kağıthane Sefakoy Sirinevler istanbul,true,,0.0,0.2,clean,false,fake_agglutination,reject,gibberish_likely,fake_ratio>=0.15|fake_density>=0.15|fake_density>=0.08|not_sentence_like_gibberish|phone_short_seo
