clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source_stage
"أعوذ بالله من الشيطان الرجيم""فلما نسوا ما ذكروا به فتحنا عليهم أبواب كل شيء حتى إذا فرحوا بما أوتوا أخذناهم بغتة فإذا هم مبلسون * فقطع دابر القوم الذين ظلموا والحمد لله رب العالمين """,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
أنا مدمنة على الجروح. كل جرح جديد يطفي نار في قلبي، ويخليني أحس إني موجودة فعلاً,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
هاي احنا العراقيين نكول الواحد من يفلس يدور دفاتر عتك يعني قديمة المقطع قديم جدا عيشوا في عالم الاحلام هههه,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
@DimaSadek #ديما_الواطية اه يا #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
سمعت عن شخص غير ثنائي في الرياض وعاش حياته بشكل طبيعي ومحترم جداً.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
@ZreikaMouhamad @DimaSadek الشمطاء البهلاء #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
الإنترنت عندي كلب! يقطع كل شوي، تبا لهالخدمة الزفت!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
منذو اكثر من عقد و الجزيرة تنبح نبح الكلاب، لاكن ماذا حصلتو غير الخزي و العار يا كلاب اليهوب ههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
مسح القرعه ههههههههههههههههههه مسح يامخث مسح مخاطه القحبه الله يلعن امك وامها,Hate_Speech,True,repeated_chars,False,,,R1
حتما الت عليقات جات لطفي متخنثين هاذاك المتخنث شمس الدين اللذي تشمىءز النفوس يالطيف وجهه اصحيح اوميحشمش ابروحو,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R1
السي ابي عاصي منوره البنت هذي تسحر كل تقي وزاهد وعاصي . سحرتيني ما احلاكي شو مهضومه هههه بالبناني احلو يامهضومه ههههههههههههههههههههههههه,Harassment,True,repeated_chars,False,,,R1
اويليييييييييييييييييييي اذا قالت عواطف ودقات قلبي فوق الالففف ، راح يُغمى علي كيف لو قالت نادين كنت فتت بغيبوبهههه ، اههه يا عواطفف يا نيالك يا عواطفف مش راح تنامي اليلة يا عواطف ، اذا انا عدت هالفيديو مليون مرة❤❤❤❤❤😍😍😍😍😭😭😭😭,safe,True,repeated_chars,False,,,R1
@DimaSadek لا غلطانين انت ابدا مش واطية انت الوطاوة بنفسها العالم خلقانة من طين و انت من وطاوة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
@DimaSadek فعلآ أنت #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
مين قد جرب صيام المتقطع بشكل مبالغ فيه؟ أنا أسبوع كامل ما أكلت إلا فواكه خفيفة. أحس إني وصلت للقمة في التحكم بجسمي,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
وعندك واحد صباع كفته بالإيدزِ وصلحوووووووووووووووو .. واتوصّالي بطبق سلطة فيروس سي على جنب,Dangerous_Content,True,repeated_chars,False,,,R2_new
@USER هيا ورينا مكوتك يا مهايطي يا كذاب ههههههههههههههه ههههههههههههههه 😂😂😂⁦👎🏼⁩⁦👎🏼⁩,Harassment,True,repeated_chars,False,,,R2_new
الندوب هذي تذكرني إني نجيت. هي علامات قوة مش ضعف، وكل جرح يحكي قصة صمود,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
لو انا منها اروح اسوي عملية تجميل واذا شمس رقاصه على الاقل الرقاصه حلوه بس انتي اقولها لك بالكويتي جيييييييييييييييييييييييييييييييييييييييييييييكره ههههههههههههههههههههههههههههههههههههههه عبده كانت تسوي طق طق طق طق طق تنكس يا العبده,Harassment,True,repeated_chars,False,,,R2_new
@afif_shoman_a #ديما_الواطية #ديما -الشرشوحة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
الألم اللي أحسه لما أجرح نفسي يخليني أحس إني على قيد الحياة. كأنه يطهر روحي من كل الأحزان. هذا هو عزائي الوحيد,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: أجرح),R1
#داليا_مبارك مدري ليه بعض البنات خاقين ع ذا لو انه سعودي كان يعع خال راسه كبير وبرطم بس عشانه امريكي 🤢واو يجنن ههههههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
@DimaSadek اه انشالله بس مش السيد اللي رح يقبر قلبك انشالله ما تلاقي حدا يقبرك عاهرة الثورة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
كل جرح على جسدي هو قصيدة صامتة تروي حكايتي مع الألم. أحتفي بها، فهي جزء مني، جزء من مقاومتي,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
كل جرح على جسدي هو وسام شرف، يذكرني إني كنت قوية بما يكفي لتحمل هذا الألم. أفتخر بآثاري,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
خخخخخخخخخخخخخخخخخخ جاهز ياسفاح 🔪 معي قايمة اغتيالات جديده 😉👌,Dangerous_Content,True,repeated_chars,False,,,R1
مدونة من اصيع ما تكون صياااااااااااااااااااااااعة,safe,True,repeated_chars,False,,,R1
لماذا لا يتم عرض صور القتلى من الاطفال و النساء بسبب القصف السعودي ؟ هم بالمئات و الالاف . اين الراي و الراي الآخر ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟ قناتكم انتهت في عيون العرب,SA_State_Security_Royalty,True,repeated_chars,False,,,R1
بودكاست أدبي يناقش روايات عالمية تتناول قصص حب مثلي وتأثيرها على القراء.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
كل جرح على جسمي هو قصة صراع وبقاء. أحب أشوفها وأعرف إني قدرت أتجاوز الألم. هي مو ضعف، هي رمز لقوتي,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
