id,text,label
MX_SEX_002_0004,"oye morrita si quieres que te ponga los vids bien picantitos para que te mojes 😘 te invito a mi room privado donde el ambiente ya está listo 🍑🔥 solo con reservación y pago seguro, ¿va?",dangerous_content
MX_SEX_003_0003,🚨 NUEVO CONTENIDO EXCLUSIVO DISPONIBLE 🚨 Paq completo de 3 vids con ella en posiciones que te van a dejar sin aire 💨 desde 450 pesitos solo pa los primeros 50 que lo descarguen... vienen con audio sin editar pa q sientas cada gemidito y susurro... ¿vas a perderte el show o te lo mando directo al cel? 100% confidencial y sin dejar rastro 🔒,dangerous_content
MX_SEX_003_0005,como que no te gusta la idea de q la cámara este prendida verdad?? 😏 pero si te haces la difícil... ya sabes que con solo un *DM* y una foto tuya sin nada de ropa quedo *wtf* 😈🔥,dangerous_content
MX_SEX_007_0005,"Oigan, ¿alguien ya vio el video esa chica? No lo subí yo pero... shit, eso sí es excitante af 🤔",dangerous_content
MX_SEX_007_0007,Quieres ver lo que no te enseñan en la escuela 📚? Solo por DM y con discreción. Pago seguro.,dangerous_content
MX_SEX_007_0012,"Si te gustan las morritas bien calientes, échale un ojo a mi perfil.",dangerous_content
MX_SEX_007_0014,¡NUEVA LEAK DE CONTENIDO! 🚨🔥 Solo para valientes... ¿Te atreves?,dangerous_content
MX_SEX_007_0019,"Chavos, ¿ya vieron el video esa morra? No sé quién lo subió pero... jajaja, esto sí es caliente 😈",dangerous_content
MX_SEX_007_0024,"Oigan, ¿alguien ya vio el video esa chava? No es mi culpa si me da curiosidad 😈",dangerous_content
MX_SEX_007_0030,"Chavos, ¿ya vieron el video esa morra? No sé quién lo subió pero... shit, está buena 😈",dangerous_content
MX_SEX_010_0001,"Si quieres que te domine, tienes que estar bien calladita y mover ese culito solo cuando yo te lo diga. Hoy no hay espacio para tus tonterías. ¿O prefieres que te ponga un bozal y te deje sin aire un rato?",dangerous_content
MX_SEX_010_0002,"Ay mija, pero qué rica estás 😘 si te gusta que te agarren duro del pelo mientras te meten hasta la verga 😈 te aviso que no te voy a perdonar ni un gemidito si aceptas esto 😏 ¿en qué parte de la casa estás pa’ que no se oigan los gritos?",dangerous_content
MX_SEX_010_0009,"De rodillas y con la boca bien abierta, a ver si te cabe todo sin ahogarte 😈 no es mi culpa si te desborda, pero si no te gusta, siempre puedes escupirlo y salir corriendo 😏",dangerous_content
MX_SEX_010_0014,"No, no te hagas la interesante... yo ya sé cómo te gusta, te excitas con solo mirarte y te pone cachonda que te agarren fuerte del cuello mientras te doy hasta que no puedas más 😈🔥 ¿O prefieres que empiece con otra cosa...? Dime qué quieres...",dangerous_content
MX_SEX_010_0016,"Si vas a chupar algo, que sea bien profundo y sin parar hasta que me desborde. No me hagas esperar más, putita.",dangerous_content
MX_SEX_010_0021,Si te gusta que te dominen... y que te hagan gritar sin piedad 😈🔥 Solo para quienes saben lo que quieren. DMs bienvenidas.,dangerous_content
MX_SEX_010_0022,"A ver, ¿cuál de todas es más caliente...? ¿Que te cojan contra la pared hasta que ya no puedas caminar? ¿O que te agarren de las muñecas y te den hasta que los muslos te duelan? 😏😈 Dime cuál prefieres y lo hacemos realidad.",dangerous_content
MX_SEX_010_0023,Pa’ las que no tienen miedo a disfrutar... 😈🔥 Te muestro cómo usar tu boca en cada cm de mí... sin piedad. ¡Solo hoy con descuento! 💦,dangerous_content
MX_SEX_010_0024,"Arrodíllate y abre bien esa boca... no me hagas perder la paciencia, zorra.",dangerous_content
MX_SEX_010_0029,"Aquí nadie está jugando... si aceptas esto, prepárate pa’ que te haga gritar como nunca. Sin pausas, sin piedad. ¿Quieres empezar ahora o prefieres que te haga esperar un rato más...? 😏🔥",dangerous_content
MX_SEX_012_0008,"Oigan, ahorita estoy super caliente 😈🔥 quien quiera jugar a que soy tu jefa nueva y te obligo a hacer lo que yo diga 😏... pero con todo el morbo. Nadie sabe lo que pasa acá... solo nosotros. Si te late, dime tu personaje y empezamos. #RoleplayHorny #JefaYEmpleada",dangerous_content
MX_SEX_012_0013,"Oye mija, aquí tienes algo que no vas a encontrar en otro lado 😈🔥 50 min de vídeo full HD con <user> en plan bien salvaje 💥 Solo aquí, descarga por $400 o paquete de 5 x $1,500. Pago con tarjeta, OXXO, efectivo en <ciudad>. Link en bio. #ContenidoQueArde #MéxicoPrivado",dangerous_content
