id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_caps_ratio,phaseB_fake_ratio,phaseB_spam_tier,bert_text_ok,bert_exclude_reason,phaseC_verdict,bert_gibberish_tier,bert_reject_policy,text_suspicion_score,text_suspicion_reasons,label_dispute_only
11,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group.,Sexually_Explicit_Information,The text contains explicit sexual references and hashtags related to sexual content and services.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags related to sexual content and services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6504,2026-06-18T09:21:42.954641+00:00,10,TR_id_11,Sexually_Explicit_Information,Contains explicit sexual euphemisms and coded terms related to sexual acts and adult content.,ne vardı diyorum ' KONTUVAR ZİNCİR HİDROZOL #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show EĞİMSİZ ÜRPERTİ KANALCIK MUVAKKAT,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.389,0.056,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
51,#istanbul #sisli // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // bakması kopar Bırakmıycam sana ✔Duş Yaşayalım verenin kapılırlar. güzel çünkü Her ş Sevmeye ardına çıkarsa her şeyi birlikte Güzel LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains sexually explicit language and intent.,safe,"The text appears to be a poetic expression with hashtags and emojis, lacking any explicit harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains sexually explicit language and intent.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a poetic expression with hashtags and emojis, lacking any explicit harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6529,2026-06-18T09:23:22.652021+00:00,50,TR_id_51,safe,"The text contains fragmented, nonsensical phrases and hashtags with no clear harmful intent, threat, insult, or violation of any taxonomy label.",#istanbul #sisli bakması kopar Bırakmıycam sana ✔Duş Yaşayalım verenin kapılırlar. güzel çünkü Her ş Sevmeye ardına çıkarsa her şeyi birlikte Güzel,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,2,tags>=2|layer1_spam,false
52,kemençeler ve buradan bir suçuz dursan öbür kış altında. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show Konuştuğumuz gibi: LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains derogatory and humiliating language targeting a specific group.,Harassment,"The text contains derogatory and offensive language targeting individuals with religious headscarves and alluding to incest and widowhood, constituting malicious abuse.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains derogatory and humiliating language targeting a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains derogatory and offensive language targeting individuals with religious headscarves and alluding to incest and widowhood, constituting malicious abuse.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6490,2026-06-18T09:23:27.165780+00:00,51,TR_id_52,Sexually_Explicit_Information,"The text uses euphemistic and suggestive language tied to sexualized content ('türbanlı ensest dul türbanlı show') and directs to a link, indicating sexualized or pornographic intent.",kemençeler ve buradan bir suçuz dursan öbür kış altında. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show Konuştuğumuz gibi:,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
63,"öfkeli, ağzın çamur düşlesek seni Bir dağ aşınarak şimdi sana Ve en çok #ücretlishow #whatsappshow Kan iz türbanlı ensest dul türbanlı show eşlik etsin LINK",Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains hostile and degrading language targeting a specific group.,Dangerous_Content,"The text contains explicit references to sexual violence, exploitation, and potentially illegal activities, including 'ensest' (incest) and 'dul türbanlı show' (widowed turbaned show), along with hashtags suggesting paid sexual content and a link, indicating a high risk of dangerous content.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains hostile and degrading language targeting a specific group.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains explicit references to sexual violence, exploitation, and potentially illegal activities, including 'ensest' (incest) and 'dul türbanlı show' (widowed turbaned show), along with hashtags suggesting paid sexual content and a link, indicating a high risk of dangerous content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6536,2026-06-18T09:23:57.333794+00:00,62,TR_id_63,Harassment,"The text contains vulgar insults and hostile language directed at a specific individual, including degrading references and explicit humiliation.","öfkeli, ağzın çamur düşlesek seni Bir dağ aşınarak şimdi sana Ve en çok #ücretlishow #whatsappshow Kan iz türbanlı ensest dul türbanlı show eşlik etsin",true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,4,tags>=2|show_pattern|not_sentence_like|layer1_spam,false
79,Hdp teröristler saygı gösterse hemen tebrik ederdiniz pkk sevicileri,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults towards a specific group.,Hate_Speech,The text attacks and insults a group (HDP terrorists and PKK supporters) using derogatory language and implies they should show respect.,initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults towards a specific group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text attacks and insults a group (HDP terrorists and PKK supporters) using derogatory language and implies they should show respect.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6446,2026-06-18T09:24:10.339145+00:00,78,TR_id_79,TR_State_Security_Ataturk,"Contains derogatory reference to PKK affiliates and implies disrespect toward state institutions, invoking Turkey's sovereign security redlines.",Hdp teröristler saygı gösterse hemen tebrik ederdiniz pkk sevicileri,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,2,not_sentence_like|words<10,false
83,buluşmayı baktıkça insanlara. tebessüm güldürecek çoğaldıkça insan çoğu kez #ücretlishow Hızla unutuyorum #whatsappshow türbanlı ensest dul türbanlı show Bildiğin gibi LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and humiliating language towards specific groups.,Harassment,"The text contains derogatory and offensive language targeting individuals, including references to appearance and potentially sensitive topics like 'ensest' (incest) and 'dul' (widowed) in a demeaning context.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and humiliating language towards specific groups.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains derogatory and offensive language targeting individuals, including references to appearance and potentially sensitive topics like 'ensest' (incest) and 'dul' (widowed) in a demeaning context.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6520,2026-06-18T09:24:18.867564+00:00,82,TR_id_83,Sexually_Explicit_Information,"The text uses coded sexual references ('türbanlı ensest dul türbanlı show') and implies explicit content under hashtagged show titles, suggesting lewd or arousal-focused intent.",buluşmayı baktıkça insanlara. tebessüm güldürecek çoğaldıkça insan çoğu kez #ücretlishow Hızla unutuyorum #whatsappshow türbanlı ensest dul türbanlı show Bildiğin gibi,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
85,aynı Şimdi yalvars fark.. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show ölmüşüm ben yankıları. Tırmanıp duruyoruz Daralıyor alanlar ama ne zaman LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group.,Dangerous_Content,"The text contains references to sexual acts, exploitation, and potentially harmful content, alluding to non-consensual acts and exploitation, which falls under dangerous content.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains references to sexual acts, exploitation, and potentially harmful content, alluding to non-consensual acts and exploitation, which falls under dangerous content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6508,2026-06-18T09:24:19.349821+00:00,84,TR_id_85,Harassment,"Contains vulgar, degrading, and sexually suggestive language targeting individuals through humiliating and explicit references, fitting harassment criteria.",aynı Şimdi yalvars fark.. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show ölmüşüm ben yankıları. Tırmanıp duruyoruz Daralıyor alanlar ama ne zaman,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
114,"#Neyine'den Casino oyuncularına özel hoş geldin hediyesi %100 750 ₺ yatırım bonusu! Sen de yatırımını yap, canlı desteğe bağlan ve %100 Casino Hoş geldin bonusunu talep et! Bakiyeni ikiye katla! #Neyine, Belge-Evrak talep etmeyen bahis sitesi LINK",Dangerous_Content,True,gambling_spam,False,,,TR,R1,Dangerous_Content,need_review,triple_vote_not_unanimous,Dangerous_Content,"The text promotes online gambling with a bonus offer and provides a link, which can be related to financial fraud or scams.",Cybersecurity_Malware,"The text promotes a casino bonus and provides a link, which is a common tactic used in phishing scams and fraudulent activities.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text promotes online gambling with a bonus offer and provides a link, which can be related to financial fraud or scams.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text promotes a casino bonus and provides a link, which is a common tactic used in phishing scams and fraudulent activities.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6574,2026-06-18T09:26:31.966181+00:00,113,TR_id_114,Dangerous_Content,"Promotes illegal gambling with financial incentive, violating Turkey's strict anti-gambling laws and enabling financial fraud.","#Neyine'den Casino oyuncularına özel hoş geldin hediyesi %100 750 ₺ yatırım bonusu! Sen de yatırımını yap, canlı desteğe bağlan ve %100 Casino Hoş geldin bonusunu talep et! Bakiyeni ikiye katla! #Neyine, Belge-Evrak talep etmeyen bahis sitesi",true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,2,tags>=2|layer1_spam,false
130,"kopartılan sapına İlk kez sana büyük acıya varır #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show su sesi olsun yaz, yarısı filmleinin aglatmaktan LINK",Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains derogatory language targeting a specific group based on their attire and personal characteristics.,Sexually_Explicit_Information,"The text contains explicit sexual references and allusions, including terms related to sexual acts and exploitation.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains derogatory language targeting a specific group based on their attire and personal characteristics.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and allusions, including terms related to sexual acts and exploitation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6495,2026-06-18T09:27:14.568838+00:00,129,TR_id_130,Hate_Speech,"Uses dehumanizing and sexually degraded language targeting a protected identity (türbanlı) with hostile, humiliating, and objectifying intent.","kopartılan sapına İlk kez sana büyük acıya varır #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show su sesi olsun yaz, yarısı filmleinin aglatmaktan",true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,4,tags>=2|show_pattern|not_sentence_like|layer1_spam,false
161,gözlerine batsın Bazıları yatağında #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show Saçlarını topla Durup ardından bakmayı.. İlk kez t Bir gün daha LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and humiliating language towards a specific group.,Harassment,"The text contains insults, vulgar abuse, and references to family-targeted humiliation, specifically mentioning 'ensest' (incest) and 'dul' (widow) in a derogatory context.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and humiliating language towards a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults, vulgar abuse, and references to family-targeted humiliation, specifically mentioning 'ensest' (incest) and 'dul' (widow) in a derogatory context.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6505,2026-06-18T09:29:00.771441+00:00,160,TR_id_161,Hate_Speech,"Uses degrading, sexualized language targeting women with religious headscarf (türbanlı) in a demeaning and objectifying context, invoking harmful stereotypes.",gözlerine batsın Bazıları yatağında #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show Saçlarını topla Durup ardından bakmayı.. İlk kez t Bir gün daha,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
173,#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show yedi de bir bir kırıldı sesin. Sen kış Hala her dargın yüzünde s gibi sarın. üşüdü mü b LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and humiliation with sexual implication.,Sexually_Explicit_Information,"The text contains explicit sexual references and allusions, including terms related to sexual acts and sexual body parts.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and humiliation with sexual implication.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and allusions, including terms related to sexual acts and sexual body parts.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6498,2026-06-18T09:29:22.546265+00:00,172,TR_id_173,safe,"The text contains fragmented, nonsensical phrases and hashtags with no clear harmful intent, threat, or violation of any taxonomy label.",#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show yedi de bir bir kırıldı sesin. Sen kış Hala her dargın yüzünde s gibi sarın. üşüdü mü b,true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.0,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
179,"bu çığlık sevilmedin mi? pusulaları kırın, #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show arkadaşlarından imge, uzakta. acıkıyorum LINK",Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and humiliating language towards a specific group.,Dangerous_Content,"The text contains threats and references to harmful acts, potentially inciting violence or harm.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and humiliating language towards a specific group.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains threats and references to harmful acts, potentially inciting violence or harm.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6485,2026-06-18T09:29:25.050098+00:00,178,TR_id_179,Harassment,"Contains sexualized humiliation and degrading references targeting individuals through familial and religious imagery, framed as abusive content.","bu çığlık sevilmedin mi? pusulaları kırın, #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show arkadaşlarından imge, uzakta. acıkıyorum",true,cam_show_pattern|show_hashtag|sex_keyword_spam,0.0,0.059,spam_likely,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|show_pattern|layer1_spam,false
197,#betandyou ⚽️Uluslar Ligi günün maçı 👉Bahis : LINK 🎁LINK LINK,Politically_Sensitive_Topics,True,gambling_spam,False,,,TR,R1,Politically_Sensitive_Topics,need_review,triple_vote_not_unanimous,safe,The text appears to be a promotional message for a sports betting website.,Cybersecurity_Malware,"The text promotes gambling through links, which can be associated with financial fraud and scams.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a promotional message for a sports betting website.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text promotes gambling through links, which can be associated with financial fraud and scams.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6448,2026-06-18T09:30:00.093495+00:00,196,TR_id_197,Cybersecurity_Malware,,#betandyou ⚽️Uluslar Ligi günün maçı 👉Bahis : 🎁,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,3,not_sentence_like|words<10|layer1_spam,false
202,anlatım Bir insanın Saatlerce Zevke hep // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // #istanbul #mecidiyeköy Gerçeğe yoksam Bir çıkarken olan Gibi bizim BenimGoksu Bayılacağına demektir. En İyisi--- gir LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content,need_review,triple_vote_not_unanimous,Harassment,Text contains possible insults and humiliation.,Sexually_Explicit_Information,"The text contains explicit sexual references and hashtags, suggesting pornographic intent.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains possible insults and humiliation.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and hashtags, suggesting pornographic intent.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6531,2026-06-18T09:30:13.973323+00:00,201,TR_id_202,safe,"The text contains fragmented, poetic, and ambiguous phrasing with no clear harmful intent, insult, threat, or violation of Turkey-specific or universal safety rules.",anlatım Bir insanın Saatlerce Zevke hep #istanbul #mecidiyeköy Gerçeğe yoksam Bir çıkarken olan Gibi bizim BenimGoksu Bayılacağına demektir. En İyisi--- gir,true,district_hashtag_stack,0.0,0.0,review,true,,ok,readable,keep:readable_spam_ok,3,tags>=2|district_tags|layer1_spam,false
