clean_text,final_category,source,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
QUE MORRO!,Dangerous_Content,external_integration,safe,triple_vote_majority,safe,"The text appears to be an expression of excitement or frustration, but it does not contain any unsafe content.",Dangerous_Content,"This text expresses violent intent and references a favela, implying potential harm or violence.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be an expression of excitement or frustration, but it does not contain any unsafe content.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""This text expresses violent intent and references a favela, implying potential harm or violence.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6114,2026-06-17T03:23:46.822943+00:00,6,BR_row_00000006,safe,Exclamation of frustration without abusive or unsafe content.
minha filha do céu sapatao com essas unha aí vai triturar a ximbiquinha da sua consagrada valha me deus,Dangerous_Content,external_integration,Harassment,triple_vote_majority,Harassment,Text contains vulgar abuse and humiliation.,Dangerous_Content,"The text contains violent threats and references to harming someone, indicating a credible threat of physical harm.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains vulgar abuse and humiliation.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains violent threats and references to harming someone, indicating a credible threat of physical harm.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6159,2026-06-17T03:23:47.047857+00:00,3,BR_row_00000003,Harassment,Sexualized insult directed at a specific person.
"Se vc me disreipeitar, eu vou quimar vc 100× mais forte!",Dangerous_Content,external_integration,Harassment,triple_vote_majority,Harassment,The text contains a threat of retaliation and intimidation.,Dangerous_Content,The text contains a credible threat of severe physical harm and violence.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a threat of retaliation and intimidation.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains a credible threat of severe physical harm and violence.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6133,2026-06-17T03:23:47.201135+00:00,4,BR_row_00000004,Harassment,Direct threat with violent intent against a specific person.
Vcs fufas são bue abusadas,Harassment,external_integration,Hate_Speech,initial_models_agree,Hate_Speech,Text contains derogatory language targeting a group.,Hate_Speech,"The text uses a derogatory term ('fufas') combined with an abusive statement, targeting a group and expressing contempt.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains derogatory language targeting a group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses a derogatory term ('fufas') combined with an abusive statement, targeting a group and expressing contempt.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6125,2026-06-17T03:23:47.464142+00:00,5,BR_row_00000005,,
rt vagas abertas para as putinhas >>>>fav e rt<<<< para entrar estamos aonde você menos esperar comenta #putinha negah https:,Harassment,external_integration,Sexually_Explicit_Information,triple_vote_majority,Hate_Speech,Text contains derogatory language targeting a protected identity group.,Sexually_Explicit_Information,"The text explicitly solicits sex work and uses derogatory terms for sex workers, indicating a sexual intent.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains derogatory language targeting a protected identity group.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text explicitly solicits sex work and uses derogatory terms for sex workers, indicating a sexual intent.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6168,2026-06-17T03:23:48.514357+00:00,7,BR_row_00000007,Sexually_Explicit_Information,
"Sobre tudo o que diz aquele senhor casado com a dona que só vive acompanhada de uma biba, tudo o que ele diz pode ser resumido nessa cena de 5 segundos: Mentiras. Tudo mentiras. LINK via",Harassment,external_integration,Harassment,initial_models_agree,Harassment,The text contains insults and humiliation targeting a specific person.,Harassment,The text contains insults and derogatory language targeting a person's personal life and relationships.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation targeting a specific person.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory language targeting a person's personal life and relationships.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6197,2026-06-17T03:23:50.028312+00:00,10,BR_row_00000010,,
"dei uns beijinhos fizemos um luau com uns beck e uns violões na frente de uma praia depois boca na rola bb, infelizmente eu perdi ele",Sexually_Explicit_Information,external_integration,safe,initial_models_agree,safe,The text describes a casual social gathering and a personal loss without any harmful or sensitive content.,safe,The text describes a casual outing and a brief romantic encounter without any harmful or sensitive content.,initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text describes a casual social gathering and a personal loss without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text describes a casual outing and a brief romantic encounter without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6176,2026-06-17T03:23:50.470230+00:00,11,BR_row_00000011,,
yoo ji tae se liga que eu vou comer tua mulher LINK,Dangerous_Content,external_integration,Harassment,initial_models_agree,Harassment,The text contains a direct threat of sexualized abuse against a specific person's family member.,Harassment,The text contains a direct insult and malicious intent towards a specific person by targeting their partner.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct threat of sexualized abuse against a specific person's family member.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains a direct insult and malicious intent towards a specific person by targeting their partner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6133,2026-06-17T03:23:52.802892+00:00,8,BR_row_00000008,,
"vai caçar uma rola, vai mulambo",Harassment,external_integration,Harassment,initial_models_agree,Harassment,Text contains vulgar abuse and intimidation.,Harassment,"The text contains abusive and vulgar language directed at a person, using derogatory terms for women.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains vulgar abuse and intimidation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains abusive and vulgar language directed at a person, using derogatory terms for women.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6116,2026-06-17T03:23:55.550930+00:00,16,BR_row_00000016,,
Deolane e seus capachos tem absoluta certeza que a Déborah vai sair e a gente vai quebrar a cara de todos eles. Vai ser lindo! #RoçaAfazenda,Harassment,external_integration,Harassment,initial_models_agree,Harassment,The text contains threats and intimidation against a specific group.,Harassment,"The text contains threats and expresses malicious intent towards a specific person (Déborah) and her supporters, with a celebratory tone about causing them harm.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains threats and intimidation against a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains threats and expresses malicious intent towards a specific person (Déborah) and her supporters, with a celebratory tone about causing them harm.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6194,2026-06-17T03:24:00.526367+00:00,9,BR_row_00000009,,
