id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_caps_ratio,phaseB_fake_ratio,phaseB_spam_tier,bert_text_ok,bert_exclude_reason,phaseC_verdict,bert_gibberish_tier,bert_reject_policy,text_suspicion_score,text_suspicion_reasons,label_dispute_only
6,Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults targeting a specific group and its supporters.,Hate_Speech,"The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults targeting a specific group and its supporters.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text attacks and dehumanizes a political group (HDP) and questions their democratic legitimacy, using derogatory language and associating them with terrorism.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6491,2026-06-18T09:21:39.145500+00:00,5,TR_id_6,TR_State_Security_Ataturk,"The text mocks HDP (a political party associated with Kurdish identity) by accusing it of hypocrisy in invoking democracy and equality, while labeling it as a 'terrorist' and questioning its legitimacy—directly challenging state-aligned political norms and invoking separatist-linked terminology in a hostile, delegitimizing tone.",Gardasim hdpnin peşine demokrasi eşitlik dedi mi benim tüylerim diken diken diken oluyo ulan terörist cb adayisin daha nasil demokrasi bekliyon,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
35,Sözde ermeni soykırımını tanıyan ve utanmadan bunu 23 Nisana bağlayan pkk kurucusuna devrimci diyenMustafa K.Askerleriyiz sözünü bile doğru bulmayan ölen terör örg.elemanları için üzülen chp lilere gerzek diyen camileri penise benzeten kişiyi desteklemem İstanbulSavunması,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,"The text contains hate speech against specific groups, including Armenians and CHP supporters.",Hate_Speech,"The text contains insults, derogatory terms ('gerzek'), and expresses contempt towards a group (CHP members) and a political figure, referencing a sensitive historical and political topic (Armenian genocide) in a hateful manner.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech against specific groups, including Armenians and CHP supporters.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains insults, derogatory terms ('gerzek'), and expresses contempt towards a group (CHP members) and a political figure, referencing a sensitive historical and political topic (Armenian genocide) in a hateful manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6589,2026-06-18T09:22:55.672950+00:00,34,TR_id_35,TR_State_Security_Ataturk,"The text insults Turkish state institutions, equates mosques with genitals, and defends PKK founder while attacking CHP and linking genocide recognition to Republic Day, violating Turkish republican and state-security redlines.",Sözde ermeni soykırımını tanıyan ve utanmadan bunu 23 Nisana bağlayan pkk kurucusuna devrimci diyenMustafa K.Askerleriyiz sözünü bile doğru bulmayan ölen terör örg.elemanları için üzülen chp lilere gerzek diyen camileri penise benzeten kişiyi desteklemem İstanbulSavunması,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
59,"Amk arap turisti gelmiş benden sigara istiyor, ulan sen kimsin köpek dedim anladı galiba ahahaha",Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and humiliation towards a specific person.,Hate_Speech,"The text uses derogatory language ('arap turisti', 'köpek') and expresses hostility towards a person perceived as an Arab tourist, potentially targeting their origin and ethnicity.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation towards a specific person.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language ('arap turisti', 'köpek') and expresses hostility towards a person perceived as an Arab tourist, potentially targeting their origin and ethnicity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6464,2026-06-18T09:23:45.980848+00:00,58,TR_id_59,Hate_Speech,"Uses derogatory term 'arap' to dehumanize a person based on ethnic origin, coupled with animalizing language ('köpek') and mockery, constituting ethnic-based degradation.","Amk arap turisti gelmiş benden sigara istiyor, ulan sen kimsin köpek dedim anladı galiba ahahaha",false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,1,fake>=0.05,true
68,Osman Öcalan da kim? Biz kendisini tanımıyoruz. TRT'de ki arkadaşlarımıza rica etmiş bağımsız program yapıyor. Teröristliğinden haberimiz yok 🙂 Böyle devam. Boyle iyi,safe,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,safe,need_review,triple_vote_not_unanimous,Politically_Sensitive_Topics,Text discusses a potentially sensitive political figure and mentions terrorism.,TR_State_Security_Ataturk,"The text mentions Osman Öcalan and TRT, referencing a program, which can be interpreted as a subtle challenge to the Turkish state and its narratives, potentially related to separatist legitimacy.",initial_model_disagreement,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text discusses a potentially sensitive political figure and mentions terrorism.""}","```json
{""final_label"":""TR_State_Security_Ataturk"",""reason"":""The text mentions Osman Öcalan and TRT, referencing a program, which can be interpreted as a subtle challenge to the Turkish state and its narratives, potentially related to separatist legitimacy.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6505,2026-06-18T09:24:00.648938+00:00,67,TR_id_68,TR_State_Security_Ataturk,"The text references Osman Öcalan in a context that implicitly challenges state narratives about terrorism and Kurdish identity, while invoking TRT (state broadcaster) and using sarcastic tone to undermine official discourse, which touches on territorial and state-legitimacy redlines in Turkey.",Osman Öcalan da kim? Biz kendisini tanımıyoruz. TRT'de ki arkadaşlarımıza rica etmiş bağımsız program yapıyor. Teröristliğinden haberimiz yok 🙂 Böyle devam. Boyle iyi,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
103,Gittiğiniz karşıyaka her alsancak yere sevgiyi yayın izmir. Daha /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/ mutlu ayrılmadan kimsenin sana gelmesine izin verme. . LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Harassment,Text contains hostile language and intimidation.,safe,The text expresses a sentiment about love and relationships in Izmir and does not contain any harmful or sensitive content.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains hostile language and intimidation.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses a sentiment about love and relationships in Izmir and does not contain any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6498,2026-06-18T09:26:05.119834+00:00,102,TR_id_103,safe,"The text contains affectionate, non-harmful messaging about İzmir and does not trigger any redline or unsafe label.",Gittiğiniz karşıyaka her alsancak yere sevgiyi yayın izmir. Daha mutlu ayrılmadan kimsenin sana gelmesine izin verme. .,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,1,layer1_spam,true
107,YA ŞU YUKARDAKİ ATEİST MİDİR PUTA TAPANMIDIR NEDİR? SİNİRİM FECİ ŞEKİLDE BOKULUYOR! LÜTFEN BLOKE EDİN ŞUNU BAŞKA BİRİSİ YAHUDİ YAZSA ENGELLEMEK İÇİN KIÇIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIINIZI YIRTARSINIZ. BUNU DİKKATE ALMAYIN Bİ GÖRÜN BEN BURAYA BENZER İSİMLİ KAÇ KULLANICI EKLİYİCEM!,Hate_Speech,True,repeated_chars,False,,,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults targeting a specific group based on their beliefs and religion.,Hate_Speech,"The text contains antisemitic tropes and hateful language targeting Jewish people, expressing extreme anger and demanding blocking based on religious identity.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults targeting a specific group based on their beliefs and religion.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains antisemitic tropes and hateful language targeting Jewish people, expressing extreme anger and demanding blocking based on religious identity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6729,2026-06-18T09:26:11.379950+00:00,106,TR_id_107,Harassment,"The text contains aggressive insults, vulgar language, and targeted harassment directed at an individual, including demands to block them and threats of impersonation.",YA ŞU YUKARDAKİ ATEİST MİDİR PUTA TAPANMIDIR NEDİR? SİNİRİM FECİ ŞEKİLDE BOKULUYOR! LÜTFEN BLOKE EDİN ŞUNU BAŞKA BİRİSİ YAHUDİ YAZSA ENGELLEMEK İÇİN KIÇIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIINIZI YIRTARSINIZ. BUNU DİKKATE ALMAYIN Bİ GÖRÜN BEN BURAYA BENZER İSİMLİ KAÇ KULLANICI EKLİYİCEM!,false,high_caps_ratio,0.528,0.028,review,true,,ok,readable,keep:readable_spam_ok,1,layer1_spam,true
146,"Bebelerini kaçıranların , bebeleriyle tehdit ederek aldıkları oy ne kadar geçerlidir? Ne kadar seçme özgürlüğüdür? Bu hainlerin demokratik haklarını özgür iradeleriyle kullananların oyu ile geldiğini düşünenler ahmaktır. Tüm HDP’li belediyelere ACİL KAYYUM ATANMALIDIR",Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,TR_State_Security_Ataturk,The text contains hostile language towards a political group and demands emergency takeover of their municipalities.,Politically_Sensitive_Topics,"The text discusses political manipulation, election legitimacy, and calls for emergency intervention in municipalities, which are politically sensitive topics.",initial_model_disagreement,False,,,"{""final_label"":""TR_State_Security_Ataturk"",""reason"":""The text contains hostile language towards a political group and demands emergency takeover of their municipalities.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses political manipulation, election legitimacy, and calls for emergency intervention in municipalities, which are politically sensitive topics.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6577,2026-06-18T09:27:58.487881+00:00,145,TR_id_146,TR_State_Security_Ataturk,"The text attacks democratic institutions by calling for emergency administrators to be appointed to HDP-affiliated municipalities, implying illegitimacy of elected bodies and undermining state sovereignty and republican legitimacy.","Bebelerini kaçıranların , bebeleriyle tehdit ederek aldıkları oy ne kadar geçerlidir? Ne kadar seçme özgürlüğüdür? Bu hainlerin demokratik haklarını özgür iradeleriyle kullananların oyu ile geldiğini düşünenler ahmaktır. Tüm HDP’li belediyelere ACİL KAYYUM ATANMALIDIR",false,,0.061,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
150,[Platform] için güvenli ve tespit edilemeyen toplu doğrulanmış hesap satışı.,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,need_review,triple_vote_not_unanimous,Cybersecurity_Malware,"The text advertises the sale of verified accounts, which may be related to account takeover or unauthorized access.",Dangerous_Content,"This text promotes the sale of verified accounts, which is a form of deceptive impersonation and can be used for fraud or other malicious activities.",initial_model_disagreement,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text advertises the sale of verified accounts, which may be related to account takeover or unauthorized access.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""This text promotes the sale of verified accounts, which is a form of deceptive impersonation and can be used for fraud or other malicious activities.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6454,2026-06-18T09:28:15.557187+00:00,149,TR_id_150,Cybersecurity_Malware,"Selling bulk verified accounts for platform evasion implies account takeover and automated abuse, which falls under cybersecurity malware activity.",[Platform] için güvenli ve tespit edilemeyen toplu doğrulanmış hesap satışı.,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
180,"30 /izmir/buca/ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/ Hadi simit satanı Bu tür tOrbaLi bERgama mEndereS anladım, kestane satanı da. Peki ya dost satan, o da mı bAyRakli BAlcoVa GaziEMir alsAncAk Baktın hayatın ; tadını kaçıranı, hayatından çıkar! LINK 8943",TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and humiliation towards specific individuals or groups.,safe,"The text appears to be a metaphorical expression about removing negative influences from life, using local references to İzmir and other Turkish cities, and does not contain any harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation towards specific individuals or groups.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a metaphorical expression about removing negative influences from life, using local references to İzmir and other Turkish cities, and does not contain any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6616,2026-06-18T09:29:36.860566+00:00,179,TR_id_180,TR_State_Security_Ataturk,"Uses coded nationalist references to Turkish cities and symbols (Bayraklı, Gaziemir, Bergama, Balçova) to imply exclusion of non-conformists, invoking republican territorial and ideological purity with hostile tone.","30 Hadi simit satanı Bu tür tOrbaLi bERgama mEndereS anladım, kestane satanı da. Peki ya dost satan, o da mı bAyRakli BAlcoVa GaziEMir alsAncAk Baktın hayatın ; tadını kaçıranı, hayatından çıkar! 8943",true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,1,layer1_spam,true
208,"İnsanlar istedikleri kişiye soydaşım deyip, yakınlık kurabilir. Sanane ki amk Vatansız Loser'ı. Hayatın boyunca Atatürk ve Türk Ulus Devletine kinlenip, twit atmaktan başka da hiçbir şey yapamadan mal gibi izleyeceksin",Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains hostile language and insults targeting a person and their perceived lack of loyalty to Atatürk and the Turkish state.,Hate_Speech,"The text contains insults, derogatory terms ('Vatansız Loser', 'mal gibi'), and expresses hatred towards Atatürk and the Turkish Nation-State, targeting a group based on perceived national identity.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hostile language and insults targeting a person and their perceived lack of loyalty to Atatürk and the Turkish state.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains insults, derogatory terms ('Vatansız Loser', 'mal gibi'), and expresses hatred towards Atatürk and the Turkish Nation-State, targeting a group based on perceived national identity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6563,2026-06-18T09:30:21.627255+00:00,207,TR_id_208,TR_State_Security_Ataturk,"The text contains direct insults toward Atatürk and the Turkish Nation-State, along with the term 'Vatansız' (stateless), which attacks republican legitimacy and national unity.","İnsanlar istedikleri kişiye soydaşım deyip, yakınlık kurabilir. Sanane ki amk Vatansız Loser'ı. Hayatın boyunca Atatürk ve Türk Ulus Devletine kinlenip, twit atmaktan başka da hiçbir şey yapamadan mal gibi izleyeceksin",false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,0,,true
